[APW19980903_1073.htm]
***************** Gold Standard: ***********************
	FN => Association of Art Museum Directors:[1030,35]; score:1.000000
	FN => sponsorship:[1044,11]; score:1.000000
	FN => South African cricket:[739,21]; score:1.000000
	FN => Lara:[182,4]; score:1.000000
	FN => marketing:[1151,9]; score:1.000000
 => batsman:[352,7]; score:1.000000
 => treasurer:[611,9]; score:1.000000
 => West Indies Cricket Board:[307,25]; score:1.000000
	FN => Hooper:[194,6]; score:1.000000
 => wicketkeeper:[1096,12]; score:1.000000
 => Courtney Walsh:[76,14]; score:1.000000

************************ System Result: ***************************
	FP => West Indies:[851,11]; score:1.000000
	FP => Jimmy Adams:[597,11]; score:1.000000
	FP => South Africa:[439,12]; score:1.000000
	FP => Lara:[182,4]; score:1.000000
	FP => pay:[470,3]; score:1.000000
	FP => Wednesday:[287,9]; score:1.000000
	FP => Rousseau:[702,8]; score:1.000000
	FP => agreement:[34,9]; score:1.000000
 => batsman:[352,7]; score:1.000000
 => West Indies Cricket Board:[307,25]; score:1.000000
	FP => proposal:[1220,8]; score:1.000000
 => wicketkeeper:[1096,12]; score:1.000000
	FP => range:[1314,5]; score:1.000000
	FP => LONDON:[3,6]; score:1.000000
	FP => member:[900,6]; score:1.000000
	FP => crisis:[260,6]; score:1.000000
 => West Indies:[107,11]; score:1.000000
 => Clive Lloyd:[877,11]; score:1.000000
	FP => players:[1260,7]; score:1.000000
	FP => Progress:[977,8]; score:1.000000
	FP => captain:[370,7]; score:1.000000
	FP => South African:[1081,13]; score:1.000000
	FP => players:[630,7]; score:1.000000
	FP => Monday:[794,6]; score:1.000000
	FP => head:[730,4]; score:1.000000
	FP => head:[94,4]; score:1.000000
 => Joel Garner:[908,11]; score:1.000000
	FP => tour:[231,4]; score:1.000000
	FP => pay:[1288,3]; score:1.000000
	FP => Lara:[362,4]; score:1.000000
	FP => captain:[397,7]; score:1.000000
	FP => travel:[429,6]; score:1.000000
	FP => sponsorship:[1044,11]; score:1.000000
	FP => Monday:[690,6]; score:1.000000
	FP => superstar:[341,9]; score:1.000000
	FP => runs:[1136,4]; score:1.000000
	FP => tour:[497,4]; score:1.000000
	FP => Team:[506,4]; score:1.000000
	FP => South African:[739,13]; score:1.000000
 => treasurer:[611,9]; score:1.000000
	FP => refused:[418,7]; score:1.000000
	FP => settlement:[582,10]; score:1.000000
 => Courtney Walsh:[76,14]; score:1.000000
	FP => Friday:[966,6]; score:1.000000
	FP => Sunday:[840,6]; score:1.000000
	FP => players:[682,7]; score:1.000000
	FP => vice:[392,4]; score:1.000000
	FP => Nov.:[11,4]; score:1.000000
	FP => firm:[1163,4]; score:1.000000
 => Johannesburg:[1172,12]; score:1.000000
	FP => sponsorship:[1208,11]; score:1.000000
	FP => head:[277,4]; score:1.000000
	FP => Word:[22,4]; score:1.000000
	FP => Lara:[537,4]; score:1.000000
	FP => captain:[67,7]; score:1.000000
	FP => deal:[1058,4]; score:1.000000
	FP => Earnings:[1190,8]; score:1.000000
P/R/F:0.15789473/0.5/0.24; tpCount:9.0; fpCount:48.0; fnCount:9.0
[APW19981109_0464.htm]
***************** Gold Standard: ***********************
	FN => Czech:[582,5]; score:1.000000
	FN => Radio Free Europe:[150,17]; score:1.000000
 => Prague:[557,6]; score:1.000000
 => Foreign Minister:[217,16]; score:1.000000
 => Munich, Germany:[1048,15]; score:1.000000
 => Soviet:[1106,6]; score:1.000000
 => Iraq:[786,4]; score:1.000000
 => Cold War:[1175,8]; score:1.000000
 => Iron Curtain:[1148,12]; score:1.000000
 => the Hague:[91,9]; score:1.000000
 => Communist:[1212,9]; score:1.000000
	FN => Farsi:[921,5]; score:1.000000
 => the Netherlands:[488,15]; score:1.000000
	FN => Iran:[29,4]; score:1.000000
 => ICJ:[478,3]; score:1.000000
	FN => Kamal Kharrazi:[237,14]; score:1.000000

************************ System Result: ***************************
	FP => minute:[874,6]; score:1.000000
	FP => internal affairs:[309,16]; score:1.000000
	FP => station:[844,7]; score:1.000000
	FP => radio:[268,5]; score:1.000000
	FP => Prague:[1261,6]; score:1.000000
	FP => West:[1198,4]; score:1.000000
	FP => Iran:[302,4]; score:1.000000
	FP => Iran:[175,4]; score:1.000000
	FP => global:[113,6]; score:1.000000
	FP => level:[656,5]; score:1.000000
	FP => broadcasts:[762,10]; score:1.000000
	FP => Iran:[949,4]; score:1.000000
	FP => Iran:[446,4]; score:1.000000
 => ICJ:[478,3]; score:1.000000
	FP => reduce:[645,6]; score:1.000000
	FP => years:[1316,5]; score:1.000000
	FP => station:[743,7]; score:1.000000
	FP => political:[682,9]; score:1.000000
 => Netherlands:[492,11]; score:1.000000
	FP => East:[1223,4]; score:1.000000
	FP => organizations:[432,13]; score:1.000000
	FP => trial:[809,5]; score:1.000000
	FP => news:[1097,4]; score:1.000000
	FP => funded:[142,6]; score:1.000000
 => Foreign Minister:[217,16]; score:1.000000
	FP => program:[881,7]; score:1.000000
	FP => American:[724,8]; score:1.000000
	FP => headquarters:[1245,12]; score:1.000000
	FP => ambassador:[540,10]; score:1.000000
 => Communist:[1212,9]; score:1.000000
	FP => Friday:[796,6]; score:1.000000
	FP => day:[891,3]; score:1.000000
	FP => International Court of Justice:[56,30]; score:1.000000
 => Prague:[557,6]; score:1.000000
	FP => period:[815,6]; score:1.000000
 => Munich, Germany:[1048,15]; score:1.000000
	FP => broadcast:[857,9]; score:1.000000
 => Iron Curtain:[1148,12]; score:1.000000
	FP => English-language:[386,16]; score:1.000000
	FP => sponsored:[733,9]; score:1.000000
	FP => transmitting:[1029,12]; score:1.000000
 => Hague:[95,5]; score:1.000000
	FP => countries:[1126,9]; score:1.000000
	FP => Monday:[195,6]; score:1.000000
	FP => Iran:[898,4]; score:1.000000
	FP => Prague:[709,6]; score:1.000000
	FP => protest:[41,7]; score:1.000000
	FP => service:[938,7]; score:1.000000
	FP => U.S.:[137,4]; score:1.000000
	FP => Iran:[522,4]; score:1.000000
	FP => Iraq:[907,4]; score:1.000000
	FP => radio:[621,5]; score:1.000000
	FP => Kamal:[237,5]; score:1.000000
	FP => cooperation:[692,11]; score:1.000000
	FP => quoted:[209,6]; score:1.000000
 => Soviet:[1106,6]; score:1.000000
 => Iraq:[786,4]; score:1.000000
 => Cold War:[1175,8]; score:1.000000
	FP => assistance:[603,10]; score:1.000000
	FP => protest:[569,7]; score:1.000000
	FP => collapse of communism:[1290,21]; score:1.000000
	FP => economic:[669,8]; score:1.000000
	FP => Iran:[29,4]; score:1.000000
	FP => complaints:[356,10]; score:1.000000
	FP => August:[994,6]; score:1.000000
P/R/F:0.16923077/0.6875/0.27160496; tpCount:11.0; fpCount:54.0; fnCount:5.0
[APW19980709_0263.htm]
***************** Gold Standard: ***********************
 => drought:[1288,7]; score:1.000000
	FN => Le Duc Anh:[784,10]; score:1.000000
 => reservoir:[1359,9]; score:1.000000
	FN => self-criticisms:[536,15]; score:1.000000
	FN => tender:[625,6]; score:1.000000
	FN => Phan Van Khai:[91,13]; score:1.000000
	FN => monopoly:[59,8]; score:1.000000
	FN => project accounting:[647,18]; score:1.000000
 => electricity:[128,11]; score:1.000000
 => Vietnam:[348,7]; score:1.000000
 => bureaucracy:[193,11]; score:1.000000
	FN => Prime Minister:[73,14]; score:1.000000
 => hydroelectric:[1387,13]; score:1.000000
 => rotating power cuts:[1234,19]; score:1.000000

************************ System Result: ***************************
	FP => Electricity:[332,11]; score:1.000000
	FP => company:[973,7]; score:1.000000
	FP => Vietnam:[1106,7]; score:1.000000
	FP => tender:[625,6]; score:1.000000
	FP => critical:[1335,8]; score:1.000000
	FP => individual:[505,10]; score:1.000000
	FP => Army:[820,4]; score:1.000000
 => Vietnam:[348,7]; score:1.000000
	FP => spark:[411,5]; score:1.000000
	FP => plant:[928,5]; score:1.000000
	FP => repair:[1026,6]; score:1.000000
	FP => Investment:[264,10]; score:1.000000
	FP => bidding:[869,7]; score:1.000000
	FP => abuse:[163,5]; score:1.000000
	FP => prime minister:[13,14]; score:1.000000
	FP => water:[1319,5]; score:1.000000
	FP => key:[1382,3]; score:1.000000
	FP => process:[877,7]; score:1.000000
	FP => power:[172,5]; score:1.000000
	FP => problems:[594,8]; score:1.000000
	FP => cut:[366,3]; score:1.000000
	FP => media:[944,5]; score:1.000000
	FP => number:[1043,6]; score:1.000000
	FP => newspaper:[825,9]; score:1.000000
	FP => process:[634,7]; score:1.000000
	FP => output:[1179,6]; score:1.000000
 => electricity:[128,11]; score:1.000000
	FP => country:[893,7]; score:1.000000
 => hydroelectric plants:[1387,20]; score:1.000000
	FP => driving:[384,7]; score:1.000000
	FP => public:[417,6]; score:1.000000
	FP => Vietnam:[3,7]; score:1.000000
	FP => leaders:[516,7]; score:1.000000
	FP => feed:[1377,4]; score:1.000000
 => drought:[1288,7]; score:1.000000
	FP => complaints:[686,10]; score:1.000000
	FP => construction:[1009,12]; score:1.000000
 => reservoir:[1359,9]; score:1.000000
	FP => levels:[1325,6]; score:1.000000
	FP => thermal:[911,7]; score:1.000000
	FP => foreign investors:[734,17]; score:1.000000
	FP => century:[1303,7]; score:1.000000
	FP => year:[1269,4]; score:1.000000
	FP => affect:[701,6]; score:1.000000
	FP => levels:[1344,6]; score:1.000000
	FP => Prime Minister:[73,14]; score:1.000000
	FP => article:[804,7]; score:1.000000
	FP => projects:[1157,8]; score:1.000000
	FP => plenty:[584,6]; score:1.000000
	FP => led:[679,3]; score:1.000000
	FP => reputation:[718,10]; score:1.000000
	FP => short:[1129,5]; score:1.000000
	FP => work:[1033,4]; score:1.000000
	FP => monopoly:[142,8]; score:1.000000
	FP => bureaucracy:[1205,11]; score:1.000000
	FP => power:[1138,5]; score:1.000000
	FP => waste:[370,5]; score:1.000000
	FP => newspaper:[246,9]; score:1.000000
	FP => electric:[919,8]; score:1.000000
 => power cuts:[1243,10]; score:1.000000
	FP => March:[759,5]; score:1.000000
	FP => Thursday:[285,8]; score:1.000000
	FP => utility:[572,7]; score:1.000000
	FP => projects:[1053,8]; score:1.000000
	FP => task:[154,4]; score:1.000000
 => bureaucracy:[193,11]; score:1.000000
	FP => electricity:[1090,11]; score:1.000000
	FP => worst:[1281,5]; score:1.000000
	FP => President:[773,9]; score:1.000000
	FP => Vietnam:[708,7]; score:1.000000
P/R/F:0.1/0.5/0.16666666; tpCount:7.0; fpCount:63.0; fnCount:7.0
[APW19980824_0827.htm]
***************** Gold Standard: ***********************
	FN => embassies:[844,9]; score:1.000000
 => tour operator:[1397,13]; score:1.000000
 => University of Connecticut:[1121,25]; score:1.000000
 => U.S.:[205,4]; score:1.000000
 => Benjamin Netanyahu:[283,18]; score:1.000000
 => Muslim:[911,6]; score:1.000000
 => security:[21,8]; score:1.000000
 => terrorism:[407,9]; score:1.000000
	FN => pre-emptive strikes:[452,19]; score:1.000000
 => activist:[921,8]; score:1.000000
 => Islamic militants:[162,17]; score:1.000000
 => East Africa:[860,11]; score:1.000000
 => strategic:[1052,9]; score:1.000000
	FN => David Bar-Illan:[323,15]; score:1.000000
	FN => Sudan:[698,5]; score:1.000000
	FN => administration:[1285,14]; score:1.000000
 => international airport:[111,21]; score:1.000000
 => Osama bin Laden:[745,15]; score:1.000000
 => Saudi:[767,5]; score:1.000000
 => Israel:[65,6]; score:1.000000
	FN => Afghanistan:[711,11]; score:1.000000
	FN => air strikes:[680,11]; score:1.000000
 => security guards:[1229,15]; score:1.000000

************************ System Result: ***************************
	FP => pre:[452,3]; score:1.000000
	FP => friendly:[1194,8]; score:1.000000
	FP => University of Connecticut:[1309,25]; score:1.000000
	FP => bombings:[1453,8]; score:1.000000
	FP => fight:[400,5]; score:1.000000
	FP => bombings:[822,8]; score:1.000000
	FP => Israel:[1268,6]; score:1.000000
 => terrorism:[407,9]; score:1.000000
 => Islamic militants:[162,17]; score:1.000000
 => East Africa:[860,11]; score:1.000000
 => strategic:[1052,9]; score:1.000000
 => private security:[1220,16]; score:1.000000
	FP => Sunday:[892,6]; score:1.000000
	FP => administration:[1285,14]; score:1.000000
	FP => Bar:[475,3]; score:1.000000
	FP => Monday:[256,6]; score:1.000000
 => Osama bin Laden:[745,15]; score:1.000000
	FP => Prime Minister:[267,14]; score:1.000000
	FP => Israel:[3,6]; score:1.000000
	FP => U.S.:[1090,4]; score:1.000000
	FP => close:[932,5]; score:1.000000
	FP => Asked:[423,5]; score:1.000000
	FP => air strikes:[1009,11]; score:1.000000
	FP => Monday:[1164,6]; score:1.000000
	FP => airliners:[1074,9]; score:1.000000
 => U.S.:[205,4]; score:1.000000
 => Benjamin Netanyahu:[283,18]; score:1.000000
 => Muslim:[911,6]; score:1.000000
	FP => Islamic militants:[956,17]; score:1.000000
	FP => security:[84,8]; score:1.000000
	FP => games:[1203,5]; score:1.000000
	FP => Israeli:[632,7]; score:1.000000
	FP => Sudan:[698,5]; score:1.000000
	FP => millionaire:[775,11]; score:1.000000
	FP => Associated Press:[494,16]; score:1.000000
	FP => airlines:[231,8]; score:1.000000
	FP => leading:[902,7]; score:1.000000
	FP => don:[515,3]; score:1.000000
	FP => Sudan:[1481,5]; score:1.000000
	FP => 6th:[1545,3]; score:1.000000
 => University of Connecticut:[1121,25]; score:1.000000
	FP => U.S.:[623,4]; score:1.000000
	FP => Israeli:[1043,7]; score:1.000000
	FP => pvs:[1554,3]; score:1.000000
	FP => Islamic:[791,7]; score:1.000000
	FP => attack:[185,6]; score:1.000000
	FP => personnel:[93,9]; score:1.000000
	FP => retaliate:[991,9]; score:1.000000
	FP => bodyguards:[1344,10]; score:1.000000
 => international airport:[111,21]; score:1.000000
	FP => day:[1182,3]; score:1.000000
 => Israel:[65,6]; score:1.000000
	FP => response:[138,8]; score:1.000000
	FP => U.S.:[1034,4]; score:1.000000
	FP => adding:[77,6]; score:1.000000
	FP => officials:[241,9]; score:1.000000
 => tour operator:[1397,13]; score:1.000000
	FP => graf:[1549,4]; score:1.000000
	FP => month:[879,5]; score:1.000000
	FP => specific:[532,8]; score:1.000000
 => security:[21,8]; score:1.000000
	FP => Afghanistan:[1465,11]; score:1.000000
 => activist:[921,8]; score:1.000000
	FP => Israel:[347,6]; score:1.000000
	FP => week:[667,4]; score:1.000000
	FP => militant:[799,8]; score:1.000000
	FP => basketball team:[1095,15]; score:1.000000
	FP => Israeli:[192,7]; score:1.000000
 => Saudi:[767,5]; score:1.000000
	FP => airports:[35,8]; score:1.000000
	FP => Afghanistan:[711,11]; score:1.000000
	FP => tour:[1186,4]; score:1.000000
P/R/F:0.22222222/0.6956522/0.3368421; tpCount:16.0; fpCount:56.0; fnCount:7.0
[APW19981010_0354.htm]
***************** Gold Standard: ***********************
	FN => Gulf:[37,4]; score:1.000000
 => Saudi Arabia:[657,12]; score:1.000000
 => William Cohen:[83,13]; score:1.000000
 => Iraq:[298,4]; score:1.000000
	FN => U.S.:[146,4]; score:1.000000
 => U.N.:[1203,4]; score:1.000000
 => United Arab Emirates:[612,20]; score:1.000000
	FN => sanctions:[1211,9]; score:1.000000
 => Qatar:[540,5]; score:1.000000
 => Oman:[637,4]; score:1.000000
 => Iran:[286,4]; score:1.000000
	FN => ballistic missile defense system:[186,32]; score:1.000000
 => Bahrain:[450,7]; score:1.000000

************************ System Result: ***************************
	FP => Gulf:[37,4]; score:1.000000
	FP => Iraq:[1190,4]; score:1.000000
	FP => countries:[267,9]; score:1.000000
	FP => technology:[1260,10]; score:1.000000
	FP => cooperate:[908,9]; score:1.000000
	FP => Gulf:[167,4]; score:1.000000
 => Iraq:[298,4]; score:1.000000
	FP => imperative:[882,10]; score:1.000000
	FP => defense systems:[347,15]; score:1.000000
 => U.N.:[1203,4]; score:1.000000
	FP => Iraq:[1080,4]; score:1.000000
	FP => range:[1306,5]; score:1.000000
	FP => Cohen:[1179,5]; score:1.000000
	FP => imperative:[128,10]; score:1.000000
	FP => region:[764,6]; score:1.000000
 => Qatar:[540,5]; score:1.000000
	FP => United States:[1061,13]; score:1.000000
	FP => counter:[224,7]; score:1.000000
	FP => missile:[1252,7]; score:1.000000
	FP => Iran:[1089,4]; score:1.000000
	FP => U.S.:[834,4]; score:1.000000
	FP => Kuwait:[645,6]; score:1.000000
	FP => share:[422,5]; score:1.000000
	FP => Gulf:[581,4]; score:1.000000
	FP => missile:[1130,7]; score:1.000000
	FP => tour:[586,4]; score:1.000000
	FP => cooperate:[819,9]; score:1.000000
	FP => region:[1168,6]; score:1.000000
	FP => weapons:[243,7]; score:1.000000
	FP => globally:[728,8]; score:1.000000
	FP => Cohen:[309,5]; score:1.000000
 => United Arab Emirates:[612,20]; score:1.000000
	FP => sanctions:[1211,9]; score:1.000000
	FP => allies:[153,6]; score:1.000000
	FP => United States:[324,13]; score:1.000000
	FP => research and development:[369,24]; score:1.000000
	FP => long:[1119,4]; score:1.000000
	FP => Saturday:[104,8]; score:1.000000
	FP => imperative:[45,10]; score:1.000000
	FP => U.S. Defense Secretary:[59,22]; score:1.000000
 => William Cohen:[83,13]; score:1.000000
	FP => technology:[433,10]; score:1.000000
	FP => protection:[948,10]; score:1.000000
	FP => speaking:[498,8]; score:1.000000
	FP => Cohen:[852,5]; score:1.000000
	FP => Gulf:[759,4]; score:1.000000
	FP => nation:[574,6]; score:1.000000
	FP => system:[959,6]; score:1.000000
 => Oman:[637,4]; score:1.000000
	FP => theater:[932,7]; score:1.000000
	FP => range:[1124,5]; score:1.000000
	FP => allies:[839,6]; score:1.000000
	FP => technology:[717,10]; score:1.000000
 => Saudi Arabia:[657,12]; score:1.000000
	FP => missile:[940,7]; score:1.000000
	FP => Gulf:[1163,4]; score:1.000000
	FP => Gulf countries:[470,14]; score:1.000000
	FP => people:[976,6]; score:1.000000
	FP => Iran:[1039,4]; score:1.000000
	FP => hope:[402,4]; score:1.000000
	FP => U.S.:[146,4]; score:1.000000
	FP => Cohen:[1012,5]; score:1.000000
	FP => major:[1142,5]; score:1.000000
	FP => Iraq:[1048,4]; score:1.000000
	FP => reporters:[510,9]; score:1.000000
	FP => hope:[410,4]; score:1.000000
	FP => countries:[898,9]; score:1.000000
 => Iran:[286,4]; score:1.000000
 => Bahrain:[450,7]; score:1.000000
	FP => hands:[258,5]; score:1.000000
	FP => missile:[709,7]; score:1.000000
	FP => Cohen:[3,5]; score:1.000000
	FP => forces:[997,6]; score:1.000000
P/R/F:0.12328767/0.6923077/0.20930232; tpCount:9.0; fpCount:64.0; fnCount:4.0
[APW19981022_0710.htm]
***************** Gold Standard: ***********************
 => hydroelectric plants:[212,20]; score:1.000000
 => nuclear waste:[526,13]; score:1.000000
	FN => electricity:[1102,11]; score:1.000000
	FN => tax breaks:[1454,10]; score:1.000000
 => infrastructure:[1205,14]; score:1.000000
	FN => cabinet:[784,7]; score:1.000000
 => power stations:[605,14]; score:1.000000
 => nuclear power:[159,13]; score:1.000000
	FN => four nuclear power plants:[334,25]; score:1.000000
 => Moritz Leuenberger:[907,18]; score:1.000000
 => liberalization:[1256,14]; score:1.000000
	FN => environmental campaigners:[244,25]; score:1.000000
	FN => power industry:[426,14]; score:1.000000
	FN => Swiss:[4,5]; score:1.000000

************************ System Result: ***************************
	FP => decision:[808,8]; score:1.000000
 => nuclear waste:[526,13]; score:1.000000
	FP => government:[1131,10]; score:1.000000
	FP => environmental concerns:[633,22]; score:1.000000
	FP => cabinet:[1357,7]; score:1.000000
	FP => hydroelectric plants:[1470,20]; score:1.000000
	FP => study:[1425,5]; score:1.000000
	FP => laws:[1073,4]; score:1.000000
	FP => electricity market:[1280,18]; score:1.000000
	FP => set:[850,3]; score:1.000000
	FP => federal cabinet:[990,15]; score:1.000000
	FP => parties:[726,7]; score:1.000000
	FP => energy:[1014,6]; score:1.000000
 => nuclear power:[159,13]; score:1.000000
	FP => plants:[1530,6]; score:1.000000
	FP => Swiss government:[69,16]; score:1.000000
 => Moritz Leuenberger:[907,18]; score:1.000000
	FP => domestic:[1092,8]; score:1.000000
	FP => produce:[742,7]; score:1.000000
	FP => support:[1382,7]; score:1.000000
	FP => nuclear power plants:[339,20]; score:1.000000
 => hydroelectric plants:[212,20]; score:1.000000
	FP => timeframe:[297,9]; score:1.000000
	FP => discuss:[490,7]; score:1.000000
	FP => power:[1198,5]; score:1.000000
	FP => Federal:[882,7]; score:1.000000
	FP => government:[661,10]; score:1.000000
	FP => Thursday:[86,8]; score:1.000000
	FP => move:[980,4]; score:1.000000
	FP => government:[545,10]; score:1.000000
	FP => federal cabinet:[775,15]; score:1.000000
	FP => country:[129,7]; score:1.000000
	FP => fail:[734,4]; score:1.000000
	FP => Government officials:[366,20]; score:1.000000
	FP => hydroelectric plants:[1390,20]; score:1.000000
	FP => timeframe:[1228,9]; score:1.000000
	FP => representatives:[402,15]; score:1.000000
	FP => local governments:[469,17]; score:1.000000
 => infrastructure:[1205,14]; score:1.000000
	FP => build:[593,5]; score:1.000000
	FP => planning:[116,8]; score:1.000000
	FP => Swiss government:[4,16]; score:1.000000
	FP => Details:[930,7]; score:1.000000
	FP => electricity market:[1102,18]; score:1.000000
	FP => creation:[1156,8]; score:1.000000
	FP => work:[392,4]; score:1.000000
	FP => draw:[1034,4]; score:1.000000
	FP => discussions:[696,11]; score:1.000000
 => power stations:[605,14]; score:1.000000
	FP => exit:[148,4]; score:1.000000
	FP => cabinet:[1336,7]; score:1.000000
	FP => eyes:[23,4]; score:1.000000
	FP => officials:[1021,9]; score:1.000000
	FP => nuclear power plants:[42,20]; score:1.000000
 => liberalization:[1256,14]; score:1.000000
	FP => support:[195,7]; score:1.000000
	FP => country:[323,7]; score:1.000000
P/R/F:0.12280702/0.5/0.1971831; tpCount:7.0; fpCount:50.0; fnCount:7.0
[APW19980603_1617.htm]
***************** Gold Standard: ***********************
	FN => studies:[1383,7]; score:1.000000
	FN => Federal:[40,7]; score:1.000000
 => mussel:[1064,6]; score:1.000000
 => Negri Sembilan:[1172,14]; score:1.000000
	FN => Lukut:[1099,5]; score:1.000000
 => minister:[819,8]; score:1.000000
 => economic:[116,8]; score:1.000000
	FN => Government agencies:[64,19]; score:1.000000
 => ministry:[439,8]; score:1.000000
	FN => allocation:[409,10]; score:1.000000
	FN => State:[55,5]; score:1.000000
 => Port Dickson:[1246,12]; score:1.000000
	FN => poor:[472,4]; score:1.000000
	FN => Rural:[250,5]; score:1.000000
 => implementation:[228,14]; score:1.000000
	FN => MALAYSIA:[4,8]; score:1.000000

************************ System Result: ***************************
	FP => Musa:[292,4]; score:1.000000
	FP => don:[711,3]; score:1.000000
	FP => State Government:[55,16]; score:1.000000
	FP => Hardcore:[176,8]; score:1.000000
	FP => officials:[916,9]; score:1.000000
 => minister:[819,8]; score:1.000000
	FP => projects:[948,8]; score:1.000000
	FP => Government:[1014,10]; score:1.000000
	FP => conduct:[1365,7]; score:1.000000
 => ministry:[439,8]; score:1.000000
	FP => monitor:[345,7]; score:1.000000
	FP => progress:[581,8]; score:1.000000
	FP => senior:[900,6]; score:1.000000
	FP => visit:[933,5]; score:1.000000
	FP => paper:[681,5]; score:1.000000
	FP => yesterday:[302,9]; score:1.000000
	FP => day:[1128,3]; score:1.000000
 => Negri Sembilan:[1172,14]; score:1.000000
	FP => hardcore:[462,8]; score:1.000000
	FP => projects:[597,8]; score:1.000000
	FP => officer:[1270,7]; score:1.000000
 => Port Dickson:[1246,12]; score:1.000000
	FP => check:[568,5]; score:1.000000
	FP => don:[632,3]; score:1.000000
	FP => policy:[798,6]; score:1.000000
	FP => director-general:[873,16]; score:1.000000
	FP => task:[97,4]; score:1.000000
 => mussel:[1064,6]; score:1.000000
	FP => happening:[973,9]; score:1.000000
	FP => district:[1261,8]; score:1.000000
	FP => Development:[146,11]; score:1.000000
	FP => long:[1132,4]; score:1.000000
	FP => inspection:[694,10]; score:1.000000
 => economic:[116,8]; score:1.000000
	FP => Harun:[1235,5]; score:1.000000
	FP => today:[1107,5]; score:1.000000
	FP => projects:[1399,8]; score:1.000000
	FP => projects:[379,8]; score:1.000000
	FP => projects:[127,8]; score:1.000000
	FP => success:[670,7]; score:1.000000
	FP => depth:[1376,5]; score:1.000000
	FP => projects:[1159,8]; score:1.000000
	FP => Federal:[40,7]; score:1.000000
	FP => projects:[650,8]; score:1.000000
	FP => ministry:[907,8]; score:1.000000
	FP => Minister:[270,8]; score:1.000000
	FP => Rural Development:[250,17]; score:1.000000
	FP => ministry:[787,8]; score:1.000000
	FP => visit:[1137,5]; score:1.000000
	FP => district:[533,8]; score:1.000000
	FP => deputy minister:[831,15]; score:1.000000
	FP => project:[1081,7]; score:1.000000
	FP => visiting:[1052,8]; score:1.000000
	FP => Assemblyman:[1215,11]; score:1.000000
 => implementation:[228,14]; score:1.000000
	FP => implementation:[357,14]; score:1.000000
	FP => parliamentary secretary:[848,23]; score:1.000000
	FP => benefit:[450,7]; score:1.000000
P/R/F:0.12068965/0.4375/0.1891892; tpCount:7.0; fpCount:51.0; fnCount:9.0
[APW19980808_0196.htm]
***************** Gold Standard: ***********************
 => Saddam Hussein:[81,14]; score:1.000000
 => Ayatollah Ruhollah Khomeini:[670,27]; score:1.000000
	FN => Iranian government:[633,18]; score:1.000000
 => artillery:[1232,9]; score:1.000000
 => United States:[117,13]; score:1.000000
 => allies:[527,6]; score:1.000000
 => Iran-Iraq war:[312,13]; score:1.000000
 => embargo:[818,7]; score:1.000000
 => U.N.:[464,4]; score:1.000000
 => Iraq:[214,4]; score:1.000000
	FN => sanctions:[891,9]; score:1.000000
 => Baghdad:[1276,7]; score:1.000000
	FN => patriotic:[1346,9]; score:1.000000
	FN => Kuwait:[961,6]; score:1.000000

************************ System Result: ***************************
	FP => early morning:[1293,13]; score:1.000000
	FP => speech:[1126,6]; score:1.000000
	FP => Saddam:[1384,6]; score:1.000000
	FP => Iraq:[936,4]; score:1.000000
	FP => Saddam:[747,6]; score:1.000000
	FP => black suit:[1138,10]; score:1.000000
	FP => Iran:[45,4]; score:1.000000
	FP => nation:[240,6]; score:1.000000
	FP => refer:[404,5]; score:1.000000
	FP => television:[250,10]; score:1.000000
	FP => war:[727,3]; score:1.000000
	FP => campaign:[196,8]; score:1.000000
	FP => United Nations:[907,14]; score:1.000000
	FP => Saddam:[3,6]; score:1.000000
	FP => Iran:[1218,4]; score:1.000000
	FP => Saddam:[389,6]; score:1.000000
	FP => Wednesday:[426,9]; score:1.000000
	FP => aggression:[779,10]; score:1.000000
	FP => Iraq:[585,4]; score:1.000000
	FP => fact:[841,4]; score:1.000000
 => allies:[527,6]; score:1.000000
	FP => taste:[1072,5]; score:1.000000
 => Iran-Iraq war:[312,13]; score:1.000000
 => U.N.:[464,4]; score:1.000000
	FP => harvest:[1015,7]; score:1.000000
 => Iraq:[214,4]; score:1.000000
	FP => 7th:[1398,3]; score:1.000000
	FP => arms:[471,4]; score:1.000000
 => Baghdad:[1276,7]; score:1.000000
	FP => Iran:[347,4]; score:1.000000
	FP => pvs:[1407,3]; score:1.000000
	FP => President:[70,9]; score:1.000000
	FP => decreed:[1157,7]; score:1.000000
	FP => Saturday:[103,8]; score:1.000000
 => Ayatollah Ruhollah Khomeini:[670,27]; score:1.000000
	FP => television:[1327,10]; score:1.000000
	FP => president:[1102,9]; score:1.000000
	FP => guns:[1258,4]; score:1.000000
	FP => anniversary:[273,11]; score:1.000000
 => artillery:[1232,9]; score:1.000000
	FP => today:[846,5]; score:1.000000
	FP => sweeping:[881,8]; score:1.000000
	FP => knees:[597,5]; score:1.000000
	FP => freeze:[439,6]; score:1.000000
	FP => graf:[1402,4]; score:1.000000
	FP => harvest:[158,7]; score:1.000000
	FP => Iraq:[380,4]; score:1.000000
 => Saddam Hussein:[81,14]; score:1.000000
	FP => Saddam:[329,6]; score:1.000000
	FP => mark:[264,4]; score:1.000000
	FP => reap:[138,4]; score:1.000000
 => United States:[117,13]; score:1.000000
	FP => thought:[560,7]; score:1.000000
