[Bus3683270.txt]
***************** Gold Standard: ***********************
 => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
	FP => Tammy:[4983,4988]; score:0.000000; title:Tammy_(song); score:0.146304
 => Baton Rouge:[640,651]; score:0.830087; title:Baton_Rouge,_Louisiana; score:0.219166
	FP => American Samoa:[676,690]; score:1.106586; title:American_Samoa; score:0.246590
	FP => metropolitan areas:[159,177]; score:0.097861; title:Metropolitan_area; score:0.201827
	FP => federal grant:[3918,3931]; score:0.951224; title:Federal_grants_(USA); score:1.000000
	FP => radio:[2696,2701]; score:1.364952; title:Radio; score:0.197526
	FP => radio:[4181,4186]; score:1.125171; title:Radio; score:0.231016
	FP => Samoa:[4807,4812]; score:1.072308; title:American_Samoa; score:0.270443
 => Congress:[4092,4100]; score:0.360979; title:United_States_Congress; score:0.141443
 => Congress:[1275,1283]; score:0.390906; title:United_States_Congress; score:0.152484
	FP => firefighters:[2261,2273]; score:0.579566; title:Firefighter; score:0.332620
	FP => N.D.:[4771,4775]; score:0.000000; title:Walter_Schreifels; score:0.503910
	FP => World Trade Center:[2287,2305]; score:1.297594; title:World_Trade_Center; score:0.321571
 => Katrina:[2648,2655]; score:0.951274; title:Hurricane_Katrina; score:0.563444
	FP => Homeland Security:[1193,1210]; score:0.079176; title:Homeland_security; score:0.276670
	FP => American Samoa:[4798,4812]; score:1.153426; title:American_Samoa; score:0.291671
 => Schumer:[1728,1735]; score:1.084800; title:Chuck_Schumer; score:1.000000
	FP => ear:[1593,1596]; score:0.813315; title:Ear; score:0.324433
	FP => deaf:[1588,1592]; score:1.020901; title:Hearing_impairment; score:0.400749
	FP => radio:[2355,2360]; score:0.672826; title:Radio; score:0.156376
	FP => N.D.:[5051,5055]; score:0.000000; title:Walter_Schreifels; score:0.505133
	FP => Rouge:[646,651]; score:0.000000; title:Rouge_(film); score:0.138670
 => Washington, D.C.:[480,496]; score:1.160322; title:Washington,_D.C.; score:0.199316
	FP => governance:[3721,3731]; score:0.342249; title:Governance; score:0.177552
	FP => Laramie:[570,577]; score:0.775639; title:Laramie,_Wyoming; score:0.285577
	FP => 9/11:[1560,1564]; score:1.417085; title:September_11,_2001_attacks; score:0.571054
	FP => Homeland Security:[4299,4316]; score:0.352788; title:Homeland_security; score:0.288563
 => Columbus:[531,539]; score:0.840991; title:Columbus,_Ohio; score:0.174399
	FP => U.S.:[2572,2576]; score:0.992702; title:United_States; score:0.165136
 => U.S.:[13,17]; score:0.562344; title:United_States; score:0.175508
 => Michael Chertoff:[1981,1997]; score:1.279941; title:Michael_Chertoff; score:1.000000
	FP => New York:[2603,2611]; score:0.401074; title:New_York; score:0.160901
	FP => emergency agencies:[2183,2201]; score:0.998642; title:Emergency_service; score:1.000000
	FP => communication problems:[2668,2690]; score:1.000000; title:Communication_Problems; score:0.500000
	FP => American:[4798,4806]; score:0.985893; title:United_States; score:0.148882
 => Chertoff:[1989,1997]; score:1.148816; title:Michael_Chertoff; score:1.000000
 => Morton County:[5036,5049]; score:1.148247; title:Morton_County,_North_Dakota; score:0.754041
	FP => emergency communications:[4024,4048]; score:0.932689; title:Amateur_radio_emergency_communications; score:1.000000
	FP => public safety:[27,40]; score:1.081296; title:Public_safety; score:0.521356
	FP => —:[2534,2535]; score:1.000000; title:—; score:0.500000
	FP => Knocke:[1866,1872]; score:1.000000; title:Knokke; score:0.500000
	FP => governance:[4953,4963]; score:0.736389; title:Governance; score:0.173821
	FP => Associated Press:[376,392]; score:1.259969; title:Associated_Press; score:0.672863
	FP => American:[676,684]; score:0.828007; title:United_States; score:0.185318
	FP => television:[4127,4137]; score:1.512925; title:Television; score:0.247250
P/R/F:0.24271844/0.5555556/0.33783785; tpCount:25.0; fpCount:78.0; fnCount:20.0
[Hea16384904.txt]
***************** Gold Standard: ***********************
	FN => University of Missouri:[2783,2805]; score:1.000000; title:University of Missouri-Columbia; score:1.000000
	FN => London:[2424,2430]; score:1.000000; title:London; score:1.000000
 => Mayo Clinic:[818,829]; score:1.000000; title:Mayo Clinic; score:1.000000
	FN => New York:[1564,1572]; score:1.000000; title:New York City; score:1.000000
 => Goteborg University:[2048,2067]; score:1.000000; title:Goteborg University; score:1.000000
 => Stony Brook University:[1538,1560]; score:1.000000; title:State University of New York at Stony Brook; score:1.000000
	FN => Hodgkinâ€™s lymphoma:[2516,2534]; score:1.000000; title:Hodgkin's lymphoma; score:1.000000
 => Sweden:[2071,2077]; score:1.000000; title:Sweden; score:1.000000
 => Mayo Clinic:[1208,1219]; score:1.000000; title:Mayo Clinic; score:1.000000
 => Ohio State University:[2619,2640]; score:1.000000; title:Ohio State University; score:1.000000
	FN => Santa Baby:[453,463]; score:1.000000; title:Santa Baby; score:1.000000

************************ System Result: ***************************
	FP => medical journals:[2294,2310]; score:0.954905; title:Medical_journal; score:1.000000
 => Ohio State:[2619,2629]; score:0.282644; title:Ohio_State_University; score:0.192370
	FP => blackmail:[1867,1876]; score:0.584385; title:Blackmail; score:0.413880
	FP => brain:[3082,3087]; score:0.846083; title:Brain; score:0.287909
	FP => Goteborg:[2048,2056]; score:1.063104; title:Gothenburg; score:1.000000
	FP => liver:[1802,1807]; score:0.835635; title:Liver; score:0.364249
	FP => swizzle sticks:[2378,2392]; score:0.947545; title:Swizzle_stick; score:1.000000
	FP => alcohol:[3489,3496]; score:0.159010; title:Alcohol; score:0.155338
	FP => University of Missouri:[2783,2805]; score:1.156260; title:University_of_Missouri; score:0.480498
	FP => blood pressure:[3020,3034]; score:0.831760; title:Blood_pressure; score:0.670554
	FP => colorectal cancer:[1980,1997]; score:1.032902; title:Colorectal_cancer; score:1.000000
	FP => liver:[3204,3209]; score:0.378596; title:Liver; score:0.272872
	FP => online health:[2315,2328]; score:1.000000; title:EHealth; score:0.500000
	FP => alcohol:[2472,2479]; score:0.000000; title:Alcohol; score:0.155406
	FP => jeans:[1075,1080]; score:0.561237; title:Jeans; score:0.580493
	FP => breast:[3193,3199]; score:0.168565; title:Breast; score:0.445752
	FP => cancer:[1991,1997]; score:0.629582; title:Cancer; score:0.217694
	FP => microphone:[3380,3390]; score:0.845610; title:Microphone; score:0.713126
	FP => arthritis:[2215,2224]; score:0.650044; title:Arthritis; score:0.694681
 => The Mayo Clinic:[1204,1219]; score:0.921550; title:Mayo_Clinic; score:1.000000
 => Goteborg University:[2048,2067]; score:1.000000; title:University_of_Gothenburg; score:0.500000
 => Mayo Clinic:[818,829]; score:1.099390; title:Mayo_Clinic; score:1.000000
	FP => rheumatoid arthritis:[2204,2224]; score:1.065416; title:Rheumatoid_arthritis; score:1.000000
	FP => heart disease:[1787,1800]; score:0.626573; title:Heart_disease; score:0.397025
	FP => disease:[1793,1800]; score:1.105712; title:Disease; score:0.189117
	FP => cancer:[972,978]; score:1.088856; title:Cancer; score:0.342241
	FP => Stony Brook:[1538,1549]; score:0.462854; title:Stony_Brook,_New_York; score:0.227311
 => Sweden:[2071,2077]; score:0.959938; title:Sweden; score:0.145802
	FP => Missouri:[2797,2805]; score:0.533855; title:Missouri; score:0.147675
	FP => karaoke:[433,440]; score:1.012463; title:Karaoke; score:1.000000
	FP => —:[661,662]; score:1.000000; title:—; score:0.500000
	FP => —:[403,404]; score:1.000000; title:—; score:0.500000
	FP => karaoke:[3526,3533]; score:1.020812; title:Karaoke; score:1.000000
	FP => lower risk:[2179,2189]; score:1.000000; title:Lower_Risk; score:0.500000
 => Mayo Clinic:[1208,1219]; score:1.098605; title:Mayo_Clinic; score:1.000000
	FP => Ohio:[2619,2623]; score:0.669731; title:Ohio; score:0.160501
	FP => fend:[1778,1782]; score:1.000000; title:Fend_Flitzer; score:0.500000
	FP => —:[1054,1055]; score:1.000000; title:—; score:0.500000
	FP => —:[36,37]; score:1.000000; title:—; score:0.500000
	FP => blood:[3020,3025]; score:0.650934; title:Blood; score:0.167111
	FP => glasses:[1612,1619]; score:0.153952; title:Glasses; score:0.162221
	FP => colorectal:[1659,1669]; score:0.202218; title:Colorectal_cancer; score:0.534988
	FP => weight gain:[1829,1840]; score:0.168159; title:Obesity; score:0.534678
	FP => alcohol:[2131,2138]; score:0.600210; title:Alcohol; score:0.170917
	FP => disease:[2982,2989]; score:0.746101; title:Disease; score:0.166309
	FP => liver cancer:[3204,3216]; score:0.889995; title:Hepatocellular_carcinoma; score:0.685024
	FP => Myriad:[47,53]; score:0.044890; title:Myriad_(typeface); score:0.215151
	FP => laboratory:[2742,2752]; score:0.651195; title:Laboratory; score:0.248620
	FP => quality time:[331,343]; score:1.055432; title:Quality_time; score:1.000000
	FP => alcohol:[1749,1756]; score:0.115385; title:Alcohol; score:0.159070
	FP => alcohol:[3287,3294]; score:0.000000; title:Alcohol; score:0.141820
	FP => alcohol:[1114,1121]; score:0.191812; title:Alcohol; score:0.162302
	FP => wine:[687,691]; score:1.373211; title:Wine; score:0.232504
	FP => side effect:[1035,1046]; score:0.436397; title:Side_effect; score:0.261875
	FP => just one:[3576,3584]; score:1.000000; title:Just_One; score:0.500000
	FP => colorectal cancer:[1659,1676]; score:1.097318; title:Colorectal_cancer; score:1.000000
	FP => New York:[1564,1572]; score:0.589243; title:New_York; score:0.138862
	FP => alcohol:[619,626]; score:0.172441; title:Alcohol; score:0.195986
	FP => —:[713,714]; score:1.000000; title:—; score:0.500000
 => Stony Brook University:[1538,1560]; score:1.019280; title:Stony_Brook_University; score:1.000000
	FP => cancer:[1670,1676]; score:0.763978; title:Cancer; score:0.238431
	FP => need to:[281,288]; score:1.000000; title:Need_To; score:0.500000
	FP => disease:[963,970]; score:0.667787; title:Disease; score:0.194541
	FP => cancer:[3210,3216]; score:0.790736; title:Cancer; score:0.325497
	FP => heart disease:[957,970]; score:0.879562; title:Heart_disease; score:0.458277
	FP => —:[3534,3535]; score:1.000000; title:—; score:0.500000
	FP => gift cards:[164,174]; score:0.286452; title:Gift_card; score:0.638106
	FP => alcohol:[888,895]; score:0.196485; title:Alcohol; score:0.175193
	FP => alcohol:[2936,2943]; score:0.084425; title:Alcohol; score:0.166082
	FP => skinny jeans:[1068,1080]; score:1.107734; title:Slim-fit_pants; score:1.000000
	FP => cancer:[2552,2558]; score:0.948658; title:Cancer; score:0.295134
	FP => microphone:[545,555]; score:0.699588; title:Microphone; score:0.707908
	FP => swizzle:[2378,2385]; score:1.043554; title:Swizzling_(computer_graphics); score:1.000000
	FP => brain damage:[3082,3094]; score:0.996196; title:Brain_damage; score:0.640289
	FP => liver:[997,1002]; score:0.584401; title:Liver; score:0.340959
 => Ohio State University:[2619,2640]; score:0.799782; title:Ohio_State_University; score:0.319234
	FP => alcohol:[2820,2827]; score:0.007281; title:Alcohol; score:0.146202
	FP => colorectal:[1980,1990]; score:0.302292; title:Colon_(anatomy); score:0.525995
	FP => mice:[2230,2234]; score:0.255866; title:Mouse; score:0.202871
	FP => laboratory rats:[2742,2757]; score:1.000000; title:Laboratory_rat; score:0.500000
	FP => lower risk:[2487,2497]; score:1.000000; title:Lower_Risk; score:0.500000
	FP => rats:[2753,2757]; score:1.380644; title:Rat; score:0.672084
	FP => lymphoma:[3162,3170]; score:1.244773; title:Lymphoma; score:0.818083
	FP => finding:[1584,1591]; score:1.000000; title:Finding; score:0.500000
	FP => mice:[2094,2098]; score:0.241721; title:Mouse; score:0.202256
	FP => dementia:[3045,3053]; score:1.041139; title:Dementia; score:1.000000
	FP => heart disease:[2976,2989]; score:0.451398; title:Heart_disease; score:0.402137
	FP => cirrhosis:[980,989]; score:1.079530; title:Cirrhosis; score:1.000000
	FP => high blood pressure:[3015,3034]; score:0.736033; title:Hypertension; score:0.700776
P/R/F:0.06896552/0.54545456/0.12244899; tpCount:6.0; fpCount:81.0; fnCount:5.0
[Pol16452612.txt]
***************** Gold Standard: ***********************
 => Iraq:[892,896]; score:1.000000; title:Iraq; score:1.000000
	FN => Pfeiffer:[3022,3030]; score:1.000000; title:Dan Pfeiffer; score:1.000000
 => New York:[3488,3496]; score:1.000000; title:New York; score:1.000000
 => Washington:[1433,1443]; score:1.000000; title:Washington, D.C.; score:1.000000
 => John Kerry:[2864,2874]; score:1.000000; title:John Kerry; score:1.000000
	FN => Vietnam:[2795,2802]; score:1.000000; title:Vietnam War; score:1.000000
 => Charles Schumer:[3469,3484]; score:1.000000; title:Charles Schumer; score:1.000000
 => Bush campaign:[2837,2850]; score:1.000000; title:George W. Bush presidential campaign, 2004; score:1.000000
 => Bush:[2885,2889]; score:1.000000; title:George W. Bush; score:1.000000
	FN => Bayh:[2320,2324]; score:1.000000; title:Evan Bayh; score:1.000000
	FN => Richard Nixon:[1258,1271]; score:1.000000; title:Richard Nixon; score:1.000000
 => Evan Bayh:[1908,1917]; score:1.000000; title:Evan Bayh; score:1.000000
 => Gerald Ford:[1203,1214]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => President George W. Bush:[468,492]; score:1.000000; title:George W. Bush; score:1.000000
	FN => Washington:[2250,2260]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Senate:[2103,2109]; score:1.000000; title:United States Senate; score:1.000000
 => Schumer:[3660,3667]; score:1.000000; title:Charles Schumer; score:1.000000
 => Washington:[1694,1704]; score:1.000000; title:Washington, D.c.; score:1.000000
 => Ford:[1301,1305]; score:1.000000; title:Gerald Ford; score:1.000000
 => Washington:[1771,1781]; score:1.000000; title:Washington, D.c.; score:1.000000
 => Bill Clinton:[2954,2966]; score:1.000000; title:Bill Clinton; score:1.000000
	FN => Dan Pfeiffer:[2291,2303]; score:1.000000; title:Dan Pfeiffer; score:1.000000
 => Jimmy Carter:[1379,1391]; score:1.000000; title:Jimmy Carter; score:1.000000
	FN => Pfeiffer:[2610,2618]; score:1.000000; title:Dan Pfeiffer; score:1.000000
	FN => American people:[1482,1497]; score:1.000000; title:Demographics of the United States; score:1.000000
	FN => Indiana:[2075,2082]; score:1.000000; title:Indiana; score:1.000000
 => Nixon:[1315,1320]; score:1.000000; title:Richard Nixon; score:1.000000
	FN => Pfeiffer:[2810,2818]; score:1.000000; title:Dan Pfeiffer; score:1.000000
 => Bayh:[2223,2227]; score:1.000000; title:Evan Bayh; score:1.000000
 => Iraq:[751,755]; score:1.000000; title:Iraq; score:1.000000
	FN => Bush:[862,866]; score:1.000000; title:George W. Bush; score:1.000000
	FN => WASHINGTON:[110,120]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Boomer:[2689,2695]; score:1.000000; title:Boomer; score:1.000000

************************ System Result: ***************************
	FP => handicap:[2119,2127]; score:0.000000; title:Golf_handicap; score:0.162998
	FP => elections:[1021,1030]; score:0.631961; title:United_States_presidential_election; score:0.171402
 => John Kerry:[2864,2874]; score:1.318010; title:John_Kerry; score:0.884018
	FP => Vietnam:[2795,2802]; score:0.139337; title:Vietnam; score:0.158623
 => Bush campaign:[2837,2850]; score:1.086245; title:George_W._Bush_presidential_campaign,_2004; score:1.000000
 => Evan Bayh:[1908,1917]; score:1.302526; title:Evan_Bayh; score:1.000000
 => Gerald Ford:[1203,1214]; score:0.928745; title:Gerald_Ford; score:0.776431
 => Sen. Charles Schumer:[3464,3484]; score:1.000000; title:Chuck_Schumer; score:0.500000
	FP => 2000:[2879,2883]; score:0.888025; title:United_States_presidential_election,_2000; score:0.338084
	FP => Boomer:[2937,2943]; score:0.000000; title:Lieutenant_Boomer; score:0.201661
	FP => American:[1482,1490]; score:1.249449; title:United_States; score:0.208682
 => Kerry:[2869,2874]; score:1.129775; title:John_Kerry; score:0.864498
	FP => congenital:[3101,3111]; score:0.239576; title:Congenital_disorder; score:0.658563
	FP => 2004 election:[2732,2745]; score:0.468768; title:United_States_presidential_election,_2004; score:0.153133
	FP => Bush:[2837,2841]; score:0.386777; title:George_W._Bush; score:0.271533
	FP => WASHINGTON:[110,120]; score:0.348267; title:George_Washington; score:0.170669
 => Ford:[1301,1305]; score:0.603491; title:Gerald_Ford; score:0.200938
	FP => counterpoint:[1503,1515]; score:0.703532; title:Counterpoint; score:0.695541
	FP => American:[3454,3462]; score:1.104906; title:United_States; score:0.206356
 => Jimmy Carter:[1379,1391]; score:1.498212; title:Jimmy_Carter; score:0.791931
	FP => Bushes:[3087,3093]; score:0.648313; title:Bush_family; score:0.704399
	FP => Know:[3064,3068]; score:1.000000; title:Knowledge; score:0.500000
	FP => need to:[3404,3411]; score:1.000000; title:Need_To; score:0.500000
 => Nixon:[1315,1320]; score:0.899209; title:Richard_Nixon; score:0.351314
	FP => farmer:[1402,1408]; score:0.999588; title:Farmer; score:0.331565
 => Schumer:[3660,3667]; score:0.909292; title:Chuck_Schumer; score:1.000000
	FP => want to:[3043,3050]; score:1.000000; title:Want; score:0.500000
	FP => incumbent:[1147,1156]; score:0.788228; title:Incumbent; score:0.566931
 => Bayh:[2223,2227]; score:0.325877; title:Evan_Bayh; score:0.528990
	FP => laid to rest:[160,172]; score:1.000000; title:Laid_to_Rest; score:0.500000
	FP => Americans:[2129,2138]; score:0.461691; title:United_States; score:0.172473
	FP => Americans:[1363,1372]; score:0.400974; title:United_States; score:0.171321
	FP => 2004:[2732,2736]; score:0.588640; title:2004; score:0.194963
	FP => 1976:[1219,1223]; score:0.433844; title:United_States_presidential_election,_1976; score:0.185874
	FP => deeply:[2477,2483]; score:1.000000; title:Deeply; score:0.500000
	FP => particularly:[2202,2214]; score:1.000000; title:Particular; score:0.500000
 => Iraq:[892,896]; score:0.803627; title:Iraq; score:0.216311
 => New York:[3488,3496]; score:1.022223; title:New_York; score:0.221124
 => Washington:[1433,1443]; score:0.384039; title:Washington,_D.C.; score:0.154348
 => Bill Clinton.:[2954,2967]; score:1.224436; title:Bill_Clinton; score:0.895019
 => Ford:[1210,1214]; score:0.555013; title:Gerald_Ford; score:0.653896
 => Washington:[1694,1704]; score:0.002810; title:Washington,_D.C.; score:0.135516
	FP => worried:[2484,2491]; score:1.000000; title:Worry; score:0.500000
	FP => fearful:[639,646]; score:1.000000; title:Fear; score:0.500000
	FP => middle class:[3536,3548]; score:1.009204; title:Middle_class; score:0.527390
	FP => Dan Pfeiffer:[2291,2303]; score:1.000000; title:Daniel_Pfeiffer; score:0.500000
 => Bush:[2885,2889]; score:0.447810; title:George_W._Bush; score:0.313382
	FP => middle class:[3258,3270]; score:0.971174; title:Middle_class; score:0.504839
	FP => Bayh:[1913,1917]; score:0.152735; title:Birch_Bayh; score:0.519435
	FP => senator:[2037,2044]; score:0.518567; title:United_States_Senate; score:0.206044
	FP => Indiana:[2075,2082]; score:1.206478; title:Indiana; score:0.218878
	FP => antidote:[1246,1254]; score:1.038650; title:Antidote; score:1.000000
	FP => weaknesses:[1129,1139]; score:1.000000; title:Weakness; score:0.500000
	FP => the 2004 election:[2728,2745]; score:0.509036; title:United_States_presidential_election,_2004; score:0.410680
	FP => fervent:[664,671]; score:1.000000; title:Fervent_Records; score:0.500000
	FP => 2008:[2396,2400]; score:1.099278; title:2008; score:0.175650
	FP => Americans:[2410,2419]; score:0.315703; title:United_States; score:0.170572
	FP => American:[3645,3653]; score:1.022350; title:United_States; score:0.208675
 => Sen. John Kerry:[2859,2874]; score:1.178514; title:John_Kerry; score:1.000000
	FP => peanut:[1395,1401]; score:0.670066; title:Peanut; score:0.525278
	FP => Boomer:[2689,2695]; score:0.000000; title:Lieutenant_Boomer; score:0.201614
 => Schumer:[3477,3484]; score:0.978357; title:Chuck_Schumer; score:1.000000
 => Carter:[1385,1391]; score:1.258120; title:Jimmy_Carter; score:0.771049
	FP => 2008:[1546,1550]; score:0.888800; title:2008; score:0.168099
	FP => Americans:[791,800]; score:0.208945; title:United_States; score:0.161534
	FP => American:[44,52]; score:1.032097; title:United_States; score:0.195657
	FP => boomer:[2337,2343]; score:0.011591; title:Baby_boomer; score:0.518246
	FP => Senate:[2103,2109]; score:0.645140; title:United_States_Senate; score:0.219816
 => Iraq:[751,755]; score:0.590394; title:Iraq; score:0.197139
 => Charles Schumer:[3469,3484]; score:1.091284; title:Chuck_Schumer; score:1.000000
 => Washington:[1771,1781]; score:0.186278; title:Washington,_D.C.; score:0.142998
	FP => the American people:[1478,1497]; score:1.000000; title:Americans; score:0.500000
	FP => Bayh:[2320,2324]; score:0.081419; title:Birch_Bayh; score:0.502777
	FP => mood:[3654,3658]; score:0.114032; title:Grammatical_mood; score:0.265101
P/R/F:0.2647059/0.54545456/0.35643566; tpCount:18.0; fpCount:50.0; fnCount:15.0
[Wor13259309.txt]
***************** Gold Standard: ***********************
 => US military:[4822,4833]; score:1.000000; title:Military of the United States; score:1.000000
 => NBC News:[133,141]; score:1.000000; title:NBC News; score:1.000000
	FN => Caldwell:[5065,5073]; score:1.000000; title:William B. Caldwell; score:1.000000
	FN => Associated Press:[1148,1164]; score:1.000000; title:Associated Press; score:1.000000
 => Sunnis:[4258,4264]; score:1.000000; title:Sunni Islam; score:1.000000
	FN => Saddam:[2550,2556]; score:1.000000; title:Saddam Hussein; score:1.000000
 => MSNBC:[3852,3857]; score:1.000000; title:MSNBC; score:1.000000
 => Saddam:[4756,4762]; score:1.000000; title:Saddam Hussein; score:1.000000
	FN => U.S. forces:[4545,4556]; score:1.000000; title:Military of the United States; score:1.000000
 => Internet:[1089,1097]; score:1.000000; title:Internet; score:1.000000
 => Iraq:[88,92]; score:1.000000; title:Iraq; score:1.000000
 => Saddam:[1442,1448]; score:1.000000; title:Saddam Hussein; score:1.000000
	FN => Muqtada:[4089,4096]; score:1.000000; title:Muqtada al-Sadr; score:1.000000
 => Saddam:[3998,4004]; score:1.000000; title:Saddam Hussein; score:1.000000
 => al-Maliki:[4370,4379]; score:1.000000; title:Nouri al-Maliki; score:1.000000
	FN => AP:[2950,2952]; score:1.000000; title:Associated Press; score:1.000000
 => Mowaffak al-Rubaie:[422,440]; score:1.000000; title:Mouwafak al-Rabii; score:1.000000
 => Saddam:[3377,3383]; score:1.000000; title:Saddam Hussein; score:1.000000
 => Muqtada al-Sadr:[4114,4129]; score:1.000000; title:Muqtada al-Sadr; score:1.000000
 => William Caldwell:[4416,4432]; score:1.000000; title:William B. Caldwell; score:1.000000
 => Al-Arabiya:[3715,3725]; score:1.000000; title:Al Arabiya; score:1.000000
	FN => Saddam:[553,559]; score:1.000000; title:Saddam Hussein; score:1.000000
 => Saddam:[935,941]; score:1.000000; title:Saddam Hussein; score:1.000000
 => Al-Maliki:[0,9]; score:1.000000; title:Nouri al-Maliki; score:1.000000
 => Saddam:[1986,1992]; score:1.000000; title:Saddam Hussein; score:1.000000
 => Mahdi Army:[4178,4188]; score:1.000000; title:Mahdi Army; score:1.000000
 => U.S. military:[4436,4449]; score:1.000000; title:Military of the United States; score:1.000000
 => Nouri al-Maliki:[1214,1229]; score:1.000000; title:Nouri al-Maliki; score:1.000000
 => New York Times:[2577,2591]; score:1.000000; title:New York Times; score:1.000000
 => Najaf:[3064,3069]; score:1.000000; title:Najaf; score:1.000000
 => U.S. military:[1489,1502]; score:1.000000; title:Military of the United States; score:1.000000
 => United States:[1534,1547]; score:1.000000; title:United States; score:1.000000
 => al-Maliki:[3046,3055]; score:1.000000; title:Nouri al-Maliki; score:1.000000
 => Mowaffak al-Rubaie:[2820,2838]; score:1.000000; title:Mouwafak al-Rabii; score:1.000000
	FN => Muqtada:[4071,4078]; score:1.000000; title:Muqtada al-Sadr; score:1.000000
	FN => Hussein:[2733,2740]; score:1.000000; title:Saddam Hussein; score:1.000000
	FN => Iraqi forces:[870,882]; score:1.000000; title:New Iraqi Army; score:1.000000
	FN => Muqtada:[4080,4087]; score:1.000000; title:Muqtada al-Sadr; score:1.000000
 => BAGHDAD:[79,86]; score:1.000000; title:Baghdad; score:1.000000
	FN => Al-Jazeera:[2498,2508]; score:1.000000; title:Al Jazeera; score:1.000000
 => Saddam:[1121,1127]; score:1.000000; title:Saddam Hussein; score:1.000000
	FN => al-Rubaie:[2927,2936]; score:1.000000; title:Mouwafak al-Rabii; score:1.000000
	FN => Iraq:[95,99]; score:1.000000; title:Iraq; score:1.000000
	FN => Times:[2888,2893]; score:1.000000; title:New York Times; score:1.000000
	FN => Saddam Hussein:[227,241]; score:1.000000; title:Saddam Hussein; score:1.000000
 => Mowaffak al-Rubaie:[1872,1890]; score:1.000000; title:Mouwafak al-Rabii; score:1.000000
 => U.S.:[4391,4395]; score:1.000000; title:United States; score:1.000000
	FN => Iraq:[4715,4719]; score:1.000000; title:Iraq; score:1.000000
	FN => al-Rubaie:[1791,1800]; score:1.000000; title:Mouwafak al-Rabii; score:1.000000
 => Al-Maliki:[1309,1318]; score:1.000000; title:Nouri Al-Maliki; score:1.000000
 => Saddam:[4333,4339]; score:1.000000; title:Saddam Hussein; score:1.000000
	FN => The Associated Press:[2014,2034]; score:1.000000; title:The Associated Press; score:1.000000
	FN => Maliki:[2844,2850]; score:1.000000; title:Nouri al-Maliki; score:1.000000
 => Saddam Hussein:[368,382]; score:1.000000; title:Saddam Hussein; score:1.000000
	FN => Al-Sadr:[4302,4309]; score:1.000000; title:Muqtada al-Sadr; score:1.000000
 => Web site:[2525,2533]; score:1.000000; title:Website; score:1.000000
	FN => Al-Jazeera:[1059,1069]; score:1.000000; title:Al Jazeera; score:1.000000

************************ System Result: ***************************
	FP => Shiite:[4157,4163]; score:1.269325; title:Shia_Islam; score:1.000000
	FP => taunts:[997,1003]; score:1.000000; title:Taunting; score:0.500000
	FP => U.S.:[1489,1493]; score:0.455054; title:United_States; score:0.182525
 => Sunnis:[4258,4264]; score:1.097921; title:Sunni_Islam; score:1.000000
	FP => television:[1070,1080]; score:1.390307; title:Television; score:0.158851
 => MSNBC:[3852,3857]; score:1.002905; title:MSNBC; score:0.759978
	FP => trapdoor:[2807,2815]; score:1.156446; title:Trapdoor; score:1.000000
	FP => national security:[1765,1782]; score:1.334638; title:National_security; score:0.811286
 => US military:[4822,4833]; score:0.695501; title:Military_of_the_United_States; score:0.471779
 => Internet:[1089,1097]; score:1.461741; title:Internet; score:0.201255
	FP => U.S. helicopter:[3310,3325]; score:0.940222; title:US_Helicopter; score:1.000000
	FP => militia:[4189,4196]; score:0.571338; title:Mahdi_Army; score:0.221283
	FP => U.S.:[4545,4549]; score:0.458338; title:United_States; score:0.164611
 => BAGHDAD, Iraq:[79,92]; score:1.097588; title:Baghdad; score:1.000000
 => Al-Maliki:[1309,1318]; score:1.011708; title:Nouri_al-Maliki; score:1.000000
 => Iraq:[88,92]; score:1.247663; title:Iraq; score:0.391789
 => Al-Arabiya television:[3715,3736]; score:1.000000; title:Al_Arabiya; score:0.500000
 => New York Times:[2577,2591]; score:1.370758; title:The_New_York_Times; score:0.576732
 => Mowaffak al-Rubaie:[2820,2838]; score:0.955506; title:Mowaffak_al-Rubaie; score:1.000000
	FP => national security adviser:[1765,1790]; score:0.200228; title:Condoleezza_Rice; score:0.539419
	FP => Al-Jazeera television:[1059,1080]; score:1.000000; title:Al_Jazeera; score:0.500000
	FP => hanged:[1132,1138]; score:0.449701; title:Execution_of_Saddam_Hussein; score:0.494029
 => al-Maliki:[4370,4379]; score:1.039481; title:Nouri_al-Maliki; score:1.000000
	FP => Maj. Gen.:[4406,4415]; score:0.592426; title:Major_General; score:0.388367
	FP => execution:[1571,1580]; score:0.436752; title:Capital_punishment; score:0.196612
	FP => execution chamber:[3407,3424]; score:1.075393; title:Execution_chamber; score:1.000000
 => Saddam:[3377,3383]; score:0.830375; title:Saddam_Hussein; score:0.608646
	FP => hangmen:[3233,3240]; score:0.984139; title:Executioner; score:1.000000
	FP => U.S.:[3310,3314]; score:0.266748; title:United_States; score:0.162665
	FP => Mahdi:[4178,4183]; score:0.622108; title:Mahdi; score:0.503898
	FP => execution:[47,56]; score:0.233166; title:Capital_punishment; score:0.196655
	FP => cell phone:[4036,4046]; score:0.957128; title:Mobile_phone; score:1.000000
	FP => gallows:[2000,2007]; score:1.173515; title:Gallows; score:1.000000
