[APW19980903_1073.htm]
***************** Gold Standard: ***********************
 => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000
	FP => Vietnam:[1106,1113]; score:1.000000; title:Vietnam_War; score:1.000000
 => Le Duc Anh:[784,794]; score:1.000000; title:Le_Duc_Anh; score:1.000000
P/R/F:0.22222222/0.14285715/0.17391305; tpCount:2.0; fpCount:7.0; fnCount:12.0
[APW19980824_0827.htm]
***************** Gold Standard: ***********************
	FN => strategic:[1052,1061]; score:1.000000; title:Strategy; score:1.000000
 => East Africa:[860,871]; score:1.000000; title:East Africa; score:1.000000
 => Saudi:[767,772]; score:1.000000; title:Saudi Arabia; score:1.000000
	FN => security guards:[1229,1244]; score:1.000000; title:Security guard; score:1.000000
	FN => Islamic militants:[162,179]; score:1.000000; title:Islamist terrorism; score:1.000000
 => Israel:[65,71]; score:1.000000; title:Israel; score:1.000000
	FN => administration:[1285,1299]; score:1.000000; title:Academic administration; score:1.000000
	FN => international airport:[111,132]; score:1.000000; title:International airport; score:1.000000
	FN => pre-emptive strikes:[452,471]; score:1.000000; title:Preemptive war; score:1.000000
	FN => terrorism:[407,416]; score:1.000000; title:Terrorism; score:1.000000
	FN => tour operator:[1397,1410]; score:1.000000; title:Tour operator; score:1.000000
 => Benjamin Netanyahu:[283,301]; score:1.000000; title:Benjamin Netanyahu; score:1.000000
 => David Bar-Illan:[323,338]; score:1.000000; title:David Bar-Illan; score:1.000000
	FN => security:[21,29]; score:1.000000; title:Security; score:1.000000
 => Osama bin Laden:[745,760]; score:1.000000; title:Osama bin Laden; score:1.000000
 => University of Connecticut:[1121,1146]; score:1.000000; title:University of Connecticut; score:1.000000
 => Sudan:[698,703]; score:1.000000; title:Sudan; score:1.000000
 => U.S.:[205,209]; score:1.000000; title:United States; score:1.000000
	FN => embassies:[844,853]; score:1.000000; title:Diplomatic mission; score:1.000000
	FN => air strikes:[680,691]; score:1.000000; title:Airstrike; score:1.000000
	FN => activist:[921,929]; score:1.000000; title:Activism; score:1.000000
 => Afghanistan:[711,722]; score:1.000000; title:Afghanistan; score:1.000000
 => Muslim:[911,917]; score:1.000000; title:Muslim; score:1.000000

************************ System Result: ***************************
	FP => Israel:[3,9]; score:1.000000; title:Israel; score:0.697234
	FP => Laden:[945,950]; score:1.000000; title:Cistus; score:1.000000
 => Israel:[65,71]; score:1.000000; title:Israel; score:0.697234
	FP => Associated:[494,504]; score:1.000000; title:Associated_Press; score:0.666667
	FP => Afghanistan:[1465,1476]; score:1.000000; title:Afghanistan; score:0.746978
	FP => Israeli:[632,639]; score:1.000000; title:Israel; score:0.540429
	FP => U.S.:[1034,1038]; score:1.000000; title:United_States; score:0.803799
 => Sudan:[698,703]; score:1.000000; title:Sudan; score:0.733516
 => U.S.:[205,209]; score:1.000000; title:United_States; score:0.803799
	FP => Israeli:[192,199]; score:1.000000; title:Israel; score:0.540429
	FP => U.S.:[1090,1094]; score:1.000000; title:United_States; score:0.803799
	FP => Israel:[347,353]; score:1.000000; title:Israel; score:0.697234
	FP => Islamic:[791,798]; score:1.000000; title:Islam; score:0.840000
 => Afghanistan:[711,722]; score:1.000000; title:Afghanistan; score:0.746978
 => Muslim:[911,917]; score:1.000000; title:Muslim; score:0.780498
	FP => U.S.:[838,842]; score:1.000000; title:United_States; score:0.803799
 => East Africa:[860,871]; score:1.000000; title:East_Africa; score:1.000000
 => Saudi:[767,772]; score:1.000000; title:Saudi_Arabia; score:1.000000
	FP => Sudan:[1481,1486]; score:1.000000; title:Sudan; score:0.733516
	FP => U.S.:[623,627]; score:1.000000; title:United_States; score:0.803799
	FP => Islamic:[162,169]; score:1.000000; title:Islam; score:0.840000
 => Benjamin Netanyahu:[283,301]; score:1.000000; title:Benjamin_Netanyahu; score:1.000000
 => David Bar-Illan:[323,338]; score:1.000000; title:David_Bar-Illan; score:1.000000
	FP => University of Connecticut:[1309,1334]; score:1.000000; title:University_of_Connecticut; score:1.000000
	FP => Israel:[1268,1274]; score:1.000000; title:Israel; score:0.697234
	FP => Islamic:[956,963]; score:1.000000; title:Islam; score:0.840000
 => Osama bin Laden:[745,760]; score:1.000000; title:Osama_bin_Laden; score:1.000000
	FP => Israeli:[1043,1050]; score:1.000000; title:Israel; score:0.540429
 => University of Connecticut:[1121,1146]; score:1.000000; title:University_of_Connecticut; score:1.000000
	FP => U.S.:[674,678]; score:1.000000; title:United_States; score:0.803799
P/R/F:0.36666667/0.47826087/0.41509435; tpCount:11.0; fpCount:19.0; fnCount:12.0
[APW19981010_0354.htm]
***************** Gold Standard: ***********************
	FN => Gulf:[37,41]; score:1.000000; title:Persian Gulf; score:1.000000
 => United Arab Emirates:[612,632]; score:1.000000; title:United Arab Emirates; score:1.000000
 => Iran:[286,290]; score:1.000000; title:Iran; score:1.000000
	FN => sanctions:[1211,1220]; score:1.000000; title:International sanctions; score:1.000000
	FN => ballistic missile defense system:[186,218]; score:1.000000; title:Missile defense; score:1.000000
 => U.S.:[146,150]; score:1.000000; title:United States; score:1.000000
 => Qatar:[540,545]; score:1.000000; title:Qatar; score:1.000000
 => Iraq:[298,302]; score:1.000000; title:Iraq; score:1.000000
 => Saudi Arabia:[657,669]; score:1.000000; title:Saudi Arabia; score:1.000000
 => U.N.:[1203,1207]; score:1.000000; title:United Nations; score:1.000000
 => Oman:[637,641]; score:1.000000; title:Oman; score:1.000000
 => Bahrain:[450,457]; score:1.000000; title:Bahrain; score:1.000000
 => William Cohen:[83,96]; score:1.000000; title:William Cohen; score:1.000000

************************ System Result: ***************************
	FP => United States:[324,337]; score:1.000000; title:United_States; score:1.000000
 => Iran:[286,290]; score:1.000000; title:Iran; score:1.000000
	FP => Gulf:[167,171]; score:1.000000; title:Gulf_Oil; score:0.842105
	FP => U.S. Defense:[59,71]; score:1.000000; title:United_States_Department_of_Defense; score:0.000000
 => U.S.:[146,150]; score:1.000000; title:United_States; score:0.803799
	FP => Gulf:[37,41]; score:1.000000; title:Gulf_Oil; score:0.842105
	FP => Cohen:[852,857]; score:1.000000; title:Cohen; score:0.131515
 => Saudi Arabia:[657,669]; score:1.000000; title:Saudi_Arabia; score:0.672799
	FP => Cohen:[3,8]; score:1.000000; title:Cohen; score:0.131515
 => Oman:[637,641]; score:1.000000; title:Oman; score:0.972222
 => Bahrain:[450,457]; score:1.000000; title:Bahrain; score:0.630396
	FP => U.S.:[834,838]; score:1.000000; title:United_States; score:0.803799
	FP => Iraq:[1048,1052]; score:1.000000; title:Iraq; score:0.988987
 => William Cohen:[83,96]; score:1.000000; title:William_Cohen; score:1.000000
	FP => Gulf:[470,474]; score:1.000000; title:Gulf_Oil; score:0.842105
 => United Arab Emirates:[612,632]; score:1.000000; title:United_Arab_Emirates; score:0.656127
	FP => Gulf:[1163,1167]; score:1.000000; title:Gulf_Oil; score:0.842105
	FP => United States:[1061,1074]; score:1.000000; title:United_States; score:1.000000
	FP => Iran:[1089,1093]; score:1.000000; title:Iran; score:1.000000
	FP => Iraq:[1190,1194]; score:1.000000; title:Iraq; score:0.988987
	FP => Gulf:[581,585]; score:1.000000; title:Gulf_Oil; score:0.842105
	FP => Cohen:[1012,1017]; score:1.000000; title:Cohen; score:0.131515
	FP => Cohen:[309,314]; score:1.000000; title:Cohen; score:0.131515
 => Qatar:[540,545]; score:1.000000; title:Qatar; score:1.000000
	FP => Cohen:[1179,1184]; score:1.000000; title:Cohen; score:0.131515
 => Iraq:[298,302]; score:1.000000; title:Iraq; score:0.988987
	FP => Kuwait:[645,651]; score:1.000000; title:Kuwait; score:0.833333
 => U.N.:[1203,1207]; score:1.000000; title:United_Nations; score:0.892515
	FP => Iran:[1039,1043]; score:1.000000; title:Iran; score:1.000000
	FP => Gulf:[759,763]; score:1.000000; title:Gulf_Oil; score:0.842105
	FP => Iraq:[1080,1084]; score:1.000000; title:Iraq; score:0.988987
P/R/F:0.32258064/0.7692308/0.45454544; tpCount:10.0; fpCount:21.0; fnCount:3.0
[APW19981022_0710.htm]
***************** Gold Standard: ***********************
	FN => power stations:[605,619]; score:1.000000; title:Power station; score:1.000000
	FN => cabinet:[784,791]; score:1.000000; title:Cabinet; score:1.000000
	FN => infrastructure:[1205,1219]; score:1.000000; title:Infrastructure; score:1.000000
	FN => four nuclear power plants:[334,359]; score:1.000000; title:Nuclear power in Switzerland; score:1.000000
	FN => nuclear power:[159,172]; score:1.000000; title:nuclear power; score:1.000000
	FN => liberalization:[1256,1270]; score:1.000000; title:Liberalization; score:1.000000
	FN => power industry:[426,440]; score:1.000000; title:Electrical power industry; score:1.000000
	FN => nuclear waste:[526,539]; score:1.000000; title:Radioactive waste; score:1.000000
 => Swiss:[4,9]; score:1.000000; title:Switzerland; score:1.000000
 => Moritz Leuenberger:[907,925]; score:1.000000; title:Moritz Leuenberger; score:1.000000
	FN => tax breaks:[1454,1464]; score:1.000000; title:Tax exemption; score:1.000000
	FN => environmental campaigners:[244,269]; score:1.000000; title:Environmentalism; score:1.000000
	FN => hydroelectric plants:[212,232]; score:1.000000; title:Hydroelectricity; score:1.000000
	FN => electricity:[1102,1113]; score:1.000000; title:electricity; score:1.000000

************************ System Result: ***************************
 => Swiss:[4,9]; score:1.000000; title:Switzerland; score:0.726424
	FP => Swiss:[69,74]; score:1.000000; title:Switzerland; score:0.726424
 => Moritz Leuenberger:[907,925]; score:1.000000; title:Moritz_Leuenberger; score:1.000000
P/R/F:0.6666667/0.14285715/0.23529413; tpCount:2.0; fpCount:1.0; fnCount:12.0
[APW19980603_1617.htm]
***************** Gold Standard: ***********************
	FN => implementation:[228,242]; score:1.000000; title:Implementation; score:1.000000
	FN => Government agencies:[64,83]; score:1.000000; title:Government agency; score:1.000000
	FN => State:[55,60]; score:1.000000; title:State; score:1.000000
	FN => studies:[1383,1390]; score:1.000000; title:Research; score:1.000000
	FN => poor:[472,476]; score:1.000000; title:Poverty; score:1.000000
 => Negri Sembilan:[1172,1186]; score:1.000000; title:Negeri Sembilan; score:1.000000
	FN => Federal:[40,47]; score:1.000000; title:Federal Government; score:1.000000
	FN => mussel:[1064,1070]; score:1.000000; title:Mussel; score:1.000000
	FN => allocation:[409,419]; score:1.000000; title:Resource allocation; score:1.000000
 => MALAYSIA:[4,12]; score:1.000000; title:Malaysia; score:1.000000
	FN => minister:[819,827]; score:1.000000; title:Minister (government); score:1.000000
	FN => economic:[116,124]; score:1.000000; title:Economy; score:1.000000
	FN => Rural:[250,255]; score:1.000000; title:Rural; score:1.000000
	FN => Lukut:[1099,1104]; score:1.000000; title:Lukut; score:1.000000
 => Port Dickson:[1246,1258]; score:1.000000; title:Port Dickson; score:1.000000
	FN => ministry:[439,447]; score:1.000000; title:Ministry (government department); score:1.000000

************************ System Result: ***************************
 => MALAYSIA:[4,12]; score:1.000000; title:Malaysia; score:0.725206
	FP => Development Programme:[146,167]; score:1.000000; title:HOTOL; score:1.000000
 => Negri Sembilan:[1172,1186]; score:1.000000; title:Negeri_Sembilan; score:0.935154
	FP => DICKSON:[22,29]; score:1.000000; title:Dickson_County,_Tennessee; score:0.199216
 => Port Dickson:[1246,1258]; score:1.000000; title:Port_Dickson; score:1.000000
P/R/F:0.6/0.1875/0.2857143; tpCount:3.0; fpCount:2.0; fnCount:13.0
[APW19980808_0196.htm]
***************** Gold Standard: ***********************
	FN => allies:[527,533]; score:1.000000; title:Allies; score:1.000000
 => Ayatollah Ruhollah Khomeini:[670,697]; score:1.000000; title:Ruhollah Khomeini; score:1.000000
 => Baghdad:[1276,1283]; score:1.000000; title:Baghdad; score:1.000000
 => Kuwait:[961,967]; score:1.000000; title:Kuwait; score:1.000000
	FN => embargo:[818,825]; score:1.000000; title:Embargo; score:1.000000
	FN => Iranian government:[633,651]; score:1.000000; title:Politics of Iran; score:1.000000
	FN => Iran-Iraq war:[312,325]; score:1.000000; title:Iran-Iraq war; score:1.000000
 => United States:[117,130]; score:1.000000; title:United States; score:1.000000
	FN => sanctions:[891,900]; score:1.000000; title:Sanction; score:1.000000
 => U.N.:[464,468]; score:1.000000; title:United Nations; score:1.000000
 => Saddam Hussein:[81,95]; score:1.000000; title:Saddam Hussein; score:1.000000
 => Iraq:[214,218]; score:1.000000; title:Iraq; score:1.000000
	FN => patriotic:[1346,1355]; score:1.000000; title:Patriotism; score:1.000000
	FN => artillery:[1232,1241]; score:1.000000; title:Artillery; score:1.000000

************************ System Result: ***************************
	FP => Iraq:[380,384]; score:1.000000; title:Iraq; score:0.988987
 => Ayatollah Ruhollah Khomeini:[670,697]; score:1.000000; title:Ruhollah_Khomeini; score:0.976102
	FP => Iran:[1218,1222]; score:1.000000; title:Iran; score:1.000000
	FP => Iraq:[793,797]; score:1.000000; title:Iraq; score:0.988987
	FP => Saddam:[3,9]; score:1.000000; title:Saddam_Hussein; score:1.000000
	FP => U.S.:[15,19]; score:1.000000; title:United_States; score:0.803799
	FP => United States:[504,517]; score:1.000000; title:United_States; score:1.000000
	FP => United Nations:[907,921]; score:1.000000; title:United_Nations; score:0.945508
	FP => Iran:[45,49]; score:1.000000; title:Iran; score:1.000000
	FP => Iranian:[633,640]; score:1.000000; title:Iranian_peoples; score:1.000000
	FP => Iraq:[936,940]; score:1.000000; title:Iraq; score:0.988987
	FP => Saddam:[855,861]; score:1.000000; title:Saddam_Hussein; score:1.000000
 => Baghdad:[1276,1283]; score:1.000000; title:Baghdad; score:1.000000
 => Kuwait:[961,967]; score:1.000000; title:Kuwait; score:0.833333
	FP => Iraq:[585,589]; score:1.000000; title:Iraq; score:0.988987
 => United States:[117,130]; score:1.000000; title:United_States; score:1.000000
	FP => Saddam:[747,753]; score:1.000000; title:Saddam_Hussein; score:1.000000
 => U.N.:[464,468]; score:1.000000; title:United_Nations; score:0.892515
	FP => Saddam:[329,335]; score:1.000000; title:Saddam_Hussein; score:1.000000
 => Saddam Hussein:[81,95]; score:1.000000; title:Saddam_Hussein; score:1.000000
	FP => Iran:[347,351]; score:1.000000; title:Iran; score:1.000000
	FP => Saddam:[1384,1390]; score:1.000000; title:Saddam_Hussein; score:1.000000
	FP => Saddam:[389,395]; score:1.000000; title:Saddam_Hussein; score:1.000000
 => Iraq:[214,218]; score:1.000000; title:Iraq; score:0.988987
P/R/F:0.29166666/0.5/0.36842105; tpCount:7.0; fpCount:17.0; fnCount:7.0
[APW19981022_0630.htm]
***************** Gold Standard: ***********************
 => Interpol:[68,76]; score:1.000000; title:Interpol; score:1.000000
	FN => strategic development plan:[1239,1265]; score:1.000000; title:Strategic planning; score:1.000000
	FN => organized crime:[574,589]; score:1.000000; title:organized crime; score:1.000000
	FN => evidence:[1069,1077]; score:1.000000; title:Evidence; score:1.000000
	FN => money laundering:[930,946]; score:1.000000; title:Money laundering; score:1.000000
	FN => terrorism:[819,828]; score:1.000000; title:terrorism; score:1.000000
	FN => illegal drug trade:[904,922]; score:1.000000; title:illegal drug trade; score:1.000000
	FN => strategy:[29,37]; score:1.000000; title:Strategy; score:1.000000
	FN => crime syndicates:[155,171]; score:1.000000; title:Syndicate; score:1.000000

************************ System Result: ***************************
 => Interpol:[68,76]; score:1.000000; title:Interpol; score:1.000000
	FP => Kanemoto:[1001,1009]; score:1.000000; title:Tomoaki_Kanemoto; score:0.518519
	FP => International Criminal Police Organization:[407,449]; score:1.000000; title:Interpol; score:1.000000
	FP => Kanemoto:[1367,1375]; score:1.000000; title:Tomoaki_Kanemoto; score:0.518519
	FP => Interpol:[627,635]; score:1.000000; title:Interpol; score:1.000000
	FP => Interpol:[3,11]; score:1.000000; title:Interpol; score:1.000000
	FP => Interpol:[1283,1291]; score:1.000000; title:Interpol; score:1.000000
	FP => Interpol:[317,325]; score:1.000000; title:Interpol; score:1.000000
	FP => Interpol:[477,485]; score:1.000000; title:Interpol; score:1.000000
	FP => Interpol:[1178,1186]; score:1.000000; title:Interpol; score:1.000000
	FP => Kanemoto:[607,615]; score:1.000000; title:Tomoaki_Kanemoto; score:0.518519
	FP => Japanese:[757,765]; score:1.000000; title:Japanese_language; score:0.295831
P/R/F:0.083333336/0.11111111/0.0952381; tpCount:1.0; fpCount:11.0; fnCount:8.0
[APW19990526_0131.htm]
***************** Gold Standard: ***********************
 => Alaska:[51,57]; score:1.000000; title:Alaska; score:1.000000
	FN => seismic:[1273,1280]; score:1.000000; title:Seismology; score:1.000000
	FN => Audelio Luis Cortes:[1215,1234]; score:1.000000; title:List of fatal bear attacks in North America by decade; score:1.000000
	FN => ANCHORAGE:[37,46]; score:1.000000; title:Anchorage, Alaska; score:1.000000
 => Alaska State Troopers:[142,163]; score:1.000000; title:Alaska State Troopers; score:1.000000
	FN => rifle:[876,881]; score:1.000000; title:Rifle; score:1.000000
	FN => oil field:[1313,1322]; score:1.000000; title:Oil field; score:1.000000
	FN => Bear:[27,31]; score:1.000000; title:Bear; score:1.000000
 => Soldotna:[340,348]; score:1.000000; title:Soldotna, Alaska; score:1.000000
 => Kenai National Wildlife Refuge:[285,315]; score:1.000000; title:Kenai National Wildlife Refuge; score:1.000000
 => Kenai:[1331,1336]; score:1.000000; title:Kenai, Alaska; score:1.000000
 => Swanson River:[1296,1309]; score:1.000000; title:Swanson River; score:1.000000

************************ System Result: ***************************
 => Alaska:[51,57]; score:1.000000; title:Alaska; score:0.793325
	FP => Cates:[1134,1139]; score:1.000000; title:Clifton_B._Cates; score:0.356808
 => Alaska State Troopers:[142,163]; score:1.000000; title:Alaska_State_Troopers; score:0.980392
 => Kenai:[1331,1336]; score:1.000000; title:Kenai; score:1.000000
 => Soldotna:[340,348]; score:1.000000; title:Soldotna,_Alaska; score:1.000000
	FP => Alaska:[1182,1188]; score:1.000000; title:Alaska; score:0.793325
 => Kenai National Wildlife Refuge:[285,315]; score:1.000000; title:Kenai_National_Wildlife_Refuge; score:1.000000
	FP => Cates:[855,860]; score:1.000000; title:Clifton_B._Cates; score:0.356808
	FP => Cates:[983,988]; score:1.000000; title:Clifton_B._Cates; score:0.356808
 => Swanson River:[1296,1309]; score:1.000000; title:Swanson_River; score:0.988636
	FP => Wildlife Conservation:[641,662]; score:1.000000; title:Conservation_biology; score:1.000000
	FP => Anchorage:[451,460]; score:1.000000; title:Anchorage,_Alaska; score:0.954545
	FP => Bartley:[1114,1121]; score:1.000000; title:Bartley,_Singapore; score:0.282972
	FP => AP:[61,63]; score:1.000000; title:Associated_Press; score:0.380451
	FP => Cortes:[1339,1345]; score:1.000000; title:Hernán_Cortés; score:0.857143
P/R/F:0.4/0.5/0.44444448; tpCount:6.0; fpCount:9.0; fnCount:6.0
[APW19981210_0433.htm]
***************** Gold Standard: ***********************
	FN => Damascus airport:[406,422]; score:1.000000; title:Damascus International Airport; score:1.000000
 => Israel:[260,266]; score:1.000000; title:Israel; score:1.000000
	FN => Arab:[299,303]; score:1.000000; title:Arab; score:1.000000
	FN => Britain:[114,121]; score:1.000000; title:United Kingdom; score:1.000000
 => United States:[93,106]; score:1.000000; title:United States; score:1.000000
 => Iranian Foreign Minister Kamal Kharrazi:[1291,1330]; score:1.000000; title:Kamal Kharazi; score:1.000000
 => Syria:[60,65]; score:1.000000; title:Syria; score:1.000000
	FN => Iraqi:[138,143]; score:1.000000; title:Iraq; score:1.000000
 => Saddam Hussein:[154,168]; score:1.000000; title:Saddam Hussein; score:1.000000
 => London:[554,560]; score:1.000000; title:London; score:1.000000
 => Hafez Assad:[1372,1383]; score:1.000000; title:Hafez al-Assad; score:1.000000
 => Palestinian:[827,838]; score:1.000000; title:Palestinian people; score:1.000000
 => Abdul-Halim Khaddam:[195,214]; score:1.000000; title:Abdul Halim Khaddam; score:1.000000
 => Hassan Habibi:[385,398]; score:1.000000; title:Hassan Habibi; score:1.000000
 => Islamic:[311,318]; score:1.000000; title:Islam; score:1.000000
	FN => Iran-Iraq war:[1503,1516]; score:1.000000; title:Iran-Iraq war; score:1.000000

************************ System Result: ***************************
	FP => Persian:[1469,1476]; score:1.000000; title:Culture_of_Iran; score:1.000000
	FP => British:[503,510]; score:1.000000; title:United_Kingdom; score:0.544682
 => Israel:[260,266]; score:1.000000; title:Israel; score:0.697234
	FP => Iraqi:[580,585]; score:1.000000; title:Iraqi_Arabic; score:1.000000
	FP => Iran:[876,880]; score:1.000000; title:Iran; score:1.000000
	FP => Syrian:[1354,1360]; score:1.000000; title:Steve_Jobs; score:1.000000
	FP => Syria:[885,890]; score:1.000000; title:Syria; score:0.677046
	FP => Britain:[114,121]; score:1.000000; title:John_Maynard_Keynes; score:0.696970
	FP => Khaddam:[1097,1104]; score:1.000000; title:Abdul_Halim_Khaddam; score:1.000000
	FP => Khaddam:[330,337]; score:1.000000; title:Abdul_Halim_Khaddam; score:1.000000
	FP => Iraqi:[1021,1026]; score:1.000000; title:Iraqi_Arabic; score:1.000000
	FP => Palestinian:[1031,1042]; score:1.000000; title:Palestinian_people; score:0.667317
 => Kamal Kharrazi:[1316,1330]; score:1.000000; title:Kamal_Kharazi; score:1.000000
	FP => United States:[433,446]; score:1.000000; title:United_States; score:1.000000
	FP => Khaddam:[783,790]; score:1.000000; title:Abdul_Halim_Khaddam; score:1.000000
	FP => Iraqi:[816,821]; score:1.000000; title:Iraqi_Arabic; score:1.000000
 => Syria:[60,65]; score:1.000000; title:Syria; score:0.677046
 => Saddam Hussein:[154,168]; score:1.000000; title:Saddam_Hussein; score:1.000000
	FP => IRMA:[1006,1010]; score:1.000000; title:IRMA; score:1.000000
	FP => American:[515,523]; score:1.000000; title:United_States; score:1.000000
	FP => Arab:[299,303]; score:1.000000; title:AraB; score:1.000000
	FP => Syria:[3,8]; score:1.000000; title:Syria; score:0.677046
	FP => Syria:[1417,1422]; score:1.000000; title:Syria; score:0.677046
	FP => Iranian:[363,370]; score:1.000000; title:Iranian_peoples; score:1.000000
	FP => Habibi:[800,806]; score:1.000000; title:Habibi; score:1.000000
	FP => Saddam Hussein:[42,56]; score:1.000000; title:Saddam_Hussein; score:1.000000
	FP => Habibi:[1260,1266]; score:1.000000; title:Habibi; score:1.000000
	FP => Iranian:[985,992]; score:1.000000; title:Iranian_peoples; score:1.000000
	FP => Iraqi:[478,483]; score:1.000000; title:Iraqi_Arabic; score:1.000000
	FP => Arab:[1441,1445]; score:1.000000; title:AraB; score:1.000000
 => United States:[93,106]; score:1.000000; title:United_States; score:1.000000
	FP => Syrian:[172,178]; score:1.000000; title:Steve_Jobs; score:1.000000
	FP => Iran:[1426,1430]; score:1.000000; title:Iran; score:1.000000
 => London:[554,560]; score:1.000000; title:London; score:1.000000
	FP => Iraqi:[138,143]; score:1.000000; title:Iraqi_Arabic; score:1.000000
 => Hafez Assad:[1372,1383]; score:1.000000; title:Hafez_al-Assad; score:0.995516
 => Palestinian:[827,838]; score:1.000000; title:Palestinian_people; score:0.667317
 => Abdul-Halim Khaddam:[195,214]; score:1.000000; title:Abdul_Halim_Khaddam; score:1.000000
	FP => Damascus:[406,414]; score:1.000000; title:Damascus; score:1.000000
 => Hassan Habibi:[385,398]; score:1.000000; title:Hassan_Habibi; score:0.897727
 => Islamic:[311,318]; score:1.000000; title:Islam; score:0.840000
	FP => Habibi:[1086,1092]; score:1.000000; title:Habibi; score:1.000000
P/R/F:0.26190478/0.6875/0.37931037; tpCount:11.0; fpCount:31.0; fnCount:5.0
[APW19980614_0031.htm]
***************** Gold Standard: ***********************
 => Bangkok Post:[1040,1052]; score:1.000000; title:Bangkok Post; score:1.000000
	FN => Thai economy:[795,807]; score:1.000000; title:Economy of Thailand; score:1.000000
	FN => Queen Sirikit Natoinal Convention Center:[1395,1435]; score:1.000000; title:Queen Sirikit National Convention Center; score:1.000000
	FN => financial firms:[218,233]; score:1.000000; title:Financial institution; score:1.000000
	FN => auction:[184,191]; score:1.000000; title:Auction; score:1.000000
 => International Monetary Fund:[697,724]; score:1.000000; title:International Monetary Fund; score:1.000000
 => Christies:[1329,1338]; score:1.000000; title:Christie's; score:1.000000
 => Chuan Leekpai:[1247,1260]; score:1.000000; title:Chuan Leekpai; score:1.000000
	FN => baht:[406,410]; score:1.000000; title:Thai baht; score:1.000000
	FN => liquidate:[580,589]; score:1.000000; title:Liquidation; score:1.000000
 => Thailand:[166,174]; score:1.000000; title:Thailand; score:1.000000

************************ System Result: ***************************
 => Bangkok Post:[1040,1052]; score:1.000000; title:Bangkok_Post; score:1.000000
	FP => Thai:[237,241]; score:1.000000; title:Thai_language; score:0.932692
	FP => Thai:[795,799]; score:1.000000; title:Thai_language; score:0.932692
	FP => British:[1346,1353]; score:1.000000; title:United_Kingdom; score:0.544682
 => International Monetary Fund:[697,724]; score:1.000000; title:International_Monetary_Fund; score:1.000000
 => Christies:[1329,1338]; score:1.000000; title:Christie's; score:0.995062
 => Chuan Leekpai:[1247,1260]; score:1.000000; title:Chuan_Leekpai; score:1.000000
	FP => Bangkok:[1384,1391]; score:1.000000; title:ASEAN_Declaration; score:1.000000
	FP => Thailand:[503,511]; score:1.000000; title:Thailand; score:0.976744
 => Thailand:[166,174]; score:1.000000; title:Thailand; score:0.976744
P/R/F:0.5/0.45454547/0.47619048; tpCount:5.0; fpCount:5.0; fnCount:6.0
[APW19990519_0141.htm]
***************** Gold Standard: ***********************
	FN => carbon dioxide:[767,781]; score:1.000000; title:Carbon dioxide; score:1.000000
 => Martian:[363,370]; score:1.000000; title:Martian; score:1.000000
	FN => ice sheet:[785,794]; score:1.000000; title:ice sheet; score:1.000000
	FN => evaporated:[749,759]; score:1.000000; title:Evaporation; score:1.000000
 => Texas:[95,100]; score:1.000000; title:Texas; score:1.000000
	FN => hurricanes:[600,610]; score:1.000000; title:Tropical cyclone; score:1.000000
 => Hubble Space Telescope:[306,328]; score:1.000000; title:Hubble Space Telescope; score:1.000000
 => Mars:[157,161]; score:1.000000; title:Mars; score:1.000000
	FN => space telescope:[190,205]; score:1.000000; title:Space observatory; score:1.000000
	FN => phenomenon:[1441,1451]; score:1.000000; title:Phenomenon; score:1.000000
	FN => Martian north pole:[812,830]; score:1.000000; title:Planum Boreum; score:1.000000
	FN => ice:[404,407]; score:1.000000; title:Ice; score:1.000000
	FN => wide field planetary camera:[1009,1036]; score:1.000000; title:Wide Field and Planetary Camera; score:1.000000
	FN => cyclone:[61,68]; score:1.000000; title:Cyclone; score:1.000000
	FN => Astronomers:[4,15]; score:1.000000; title:Astronomer; score:1.000000
 => Earth:[617,622]; score:1.000000; title:Earth; score:1.000000
 => Viking Orbiter:[954,968]; score:1.000000; title:Viking program; score:1.000000
 => Space Telescope Science Institute:[244,277]; score:1.000000; title:Space Telescope Science Institute; score:1.000000

************************ System Result: ***************************
 => Martian:[363,370]; score:1.000000; title:Martian; score:1.000000
	FP => Mars:[1063,1067]; score:1.000000; title:Mars; score:0.632056
	FP => WASHINGTON:[39,49]; score:1.000000; title:Washington; score:0.270749
 => Texas:[95,100]; score:1.000000; title:Texas; score:1.000000
	FP => Hubble:[1346,1352]; score:1.000000; title:Hubble_Space_Telescope; score:0.992620
 => Hubble Space Telescope:[306,328]; score:1.000000; title:Hubble_Space_Telescope; score:1.000000
 => Mars:[157,161]; score:1.000000; title:Mars; score:0.632056
	FP => AP:[51,53]; score:1.000000; title:Associated_Press; score:0.380451
	FP => Martian:[812,819]; score:1.000000; title:Martian; score:1.000000
 => Earth:[617,622]; score:1.000000; title:Earth; score:0.870221
 => Viking Orbiter:[954,968]; score:1.000000; title:Viking_program; score:1.000000
 => Space Telescope Science Institute:[244,277]; score:1.000000; title:Space_Telescope_Science_Institute; score:1.000000
P/R/F:0.5833333/0.3888889/0.46666667; tpCount:7.0; fpCount:5.0; fnCount:11.0
[APW19980611_0774.htm]
***************** Gold Standard: ***********************
	FN => illegal traffic:[160,175]; score:1.000000; title:Smuggling; score:1.000000
 => East European:[408,421]; score:1.000000; title:Eastern Europe; score:1.000000
