[APW19980903_1073.htm]
***************** Gold Standard: ***********************
	FN => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000
	FP => plenty:[584,590]; score:1.000000; title:Bay_of_Plenty; score:0.050198
	FP => bureaucracy:[1205,1216]; score:1.000000; title:Bureaucracy; score:0.117476
	FP => feed:[1377,1381]; score:1.000000; title:Attack_of_the_Show!; score:0.036092
	FP => cut:[366,369]; score:1.000000; title:Film_editing; score:0.050250
	FP => thermal:[911,918]; score:1.000000; title:Thermal_power_station; score:0.206631
	FP => Electricity:[332,343]; score:1.000000; title:Electricity; score:0.191284
	FP => waste:[370,375]; score:1.000000; title:Waste; score:0.097869
	FP => newspaper:[246,255]; score:1.000000; title:Newspaper; score:0.083941
	FP => reputation:[718,728]; score:1.000000; title:Reputation; score:0.079598
	FP => bidding:[869,876]; score:1.000000; title:Bidding; score:0.053196
	FP => construction:[1009,1021]; score:1.000000; title:Construction; score:0.123296
	FP => levels:[1325,1331]; score:1.000000; title:GCE_Advanced_Level; score:0.103769
	FP => short:[1129,1134]; score:1.000000; title:Short_circuit; score:0.122658
	FP => power:[172,177]; score:1.000000; title:Power_(philosophy); score:0.126295
	FP => Vietnam:[1106,1113]; score:1.000000; title:Vietnam; score:0.082436
	FP => century:[1303,1310]; score:1.000000; title:20th_century; score:0.090076
	FP => March:[759,764]; score:1.000000; title:Marche; score:0.051862
	FP => company:[973,980]; score:1.000000; title:Company; score:0.067667
	FP => spark:[411,416]; score:1.000000; title:Electric_spark; score:0.068573
	FP => Vietnam:[708,715]; score:1.000000; title:Vietnam; score:0.082436
	FP => affect:[701,707]; score:1.000000; title:Affection; score:0.034895
	FP => public:[417,423]; score:1.000000; title:Public; score:0.062865
	FP => projects:[1157,1165]; score:1.000000; title:Project; score:0.121787
	FP => abuse:[163,168]; score:1.000000; title:Abuse; score:0.067833
	FP => President:[773,782]; score:1.000000; title:President_of_France; score:0.084664
	FP => media:[944,949]; score:1.000000; title:Mass_media; score:0.107549
	FP => prime minister:[13,27]; score:1.000000; title:Prime_minister; score:0.107539
P/R/F:0.1/0.5/0.16666666; tpCount:7.0; fpCount:63.0; fnCount:7.0
[APW19980824_0827.htm]
***************** Gold Standard: ***********************
 => strategic:[1052,1061]; score:1.000000; title:Strategy; score:1.000000
 => East Africa:[860,871]; score:1.000000; title:East Africa; score:1.000000
 => Saudi:[767,772]; score:1.000000; title:Saudi Arabia; score:1.000000
 => Islamic militants:[162,179]; score:1.000000; title:Islamist terrorism; score:1.000000
 => security guards:[1229,1244]; score:1.000000; title:Security guard; score:1.000000
 => Israel:[65,71]; score:1.000000; title:Israel; score:1.000000
	FN => administration:[1285,1299]; score:1.000000; title:Academic administration; score:1.000000
	FN => pre-emptive strikes:[452,471]; score:1.000000; title:Preemptive war; score:1.000000
 => international airport:[111,132]; score:1.000000; title:International airport; score:1.000000
 => terrorism:[407,416]; score:1.000000; title:Terrorism; score:1.000000
 => tour operator:[1397,1410]; score:1.000000; title:Tour operator; score:1.000000
 => Benjamin Netanyahu:[283,301]; score:1.000000; title:Benjamin Netanyahu; score:1.000000
 => security:[21,29]; score:1.000000; title:Security; score:1.000000
	FN => David Bar-Illan:[323,338]; score:1.000000; title:David Bar-Illan; score:1.000000
 => Osama bin Laden:[745,760]; score:1.000000; title:Osama bin Laden; score:1.000000
 => University of Connecticut:[1121,1146]; score:1.000000; title:University of Connecticut; score:1.000000
	FN => Sudan:[698,703]; score:1.000000; title:Sudan; score:1.000000
 => U.S.:[205,209]; score:1.000000; title:United States; score:1.000000
	FN => embassies:[844,853]; score:1.000000; title:Diplomatic mission; score:1.000000
	FN => air strikes:[680,691]; score:1.000000; title:Airstrike; score:1.000000
 => activist:[921,929]; score:1.000000; title:Activism; score:1.000000
 => Muslim:[911,917]; score:1.000000; title:Muslim; score:1.000000
	FN => Afghanistan:[711,722]; score:1.000000; title:Afghanistan; score:1.000000

************************ System Result: ***************************
	FP => month:[879,884]; score:1.000000; title:Month; score:0.020562
	FP => pre:[452,455]; score:1.000000; title:Palm_Pre; score:0.041544
	FP => Sudan:[698,703]; score:1.000000; title:South_Sudan; score:0.093160
	FP => Islamic militants:[956,973]; score:1.000000; title:Islamic_terrorism; score:0.093862
	FP => Israel:[3,9]; score:1.000000; title:Israel; score:0.104523
	FP => fight:[400,405]; score:1.000000; title:Combat; score:0.114511
	FP => millionaire:[775,786]; score:1.000000; title:Millionaire; score:0.051165
	FP => Bar:[475,478]; score:1.000000; title:Bar_(establishment); score:0.057258
	FP => Associated Press:[494,510]; score:1.000000; title:Associated_Press; score:0.103277
	FP => Israeli:[632,639]; score:1.000000; title:Israel; score:0.104523
	FP => air strikes:[1009,1020]; score:1.000000; title:Airstrike; score:0.155450
	FP => Prime Minister:[267,281]; score:1.000000; title:Prime_Minister_of_Canada; score:0.066298
	FP => militant:[799,807]; score:1.000000; title:Militant; score:0.106410
	FP => Sudan:[1481,1486]; score:1.000000; title:South_Sudan; score:0.093160
 => U.S.:[205,209]; score:1.000000; title:United_States; score:0.087563
	FP => week:[667,671]; score:1.000000; title:Week; score:0.047242
	FP => officials:[241,250]; score:1.000000; title:Official; score:0.049659
	FP => U.S.:[1090,1094]; score:1.000000; title:United_States; score:0.087563
 => activist:[921,929]; score:1.000000; title:Activism; score:0.064461
	FP => Islamic:[791,798]; score:1.000000; title:Islam; score:0.049715
	FP => don:[515,518]; score:1.000000; title:Don_River_(Russia); score:0.019874
	FP => graf:[1549,1553]; score:1.000000; title:Graffiti; score:0.074444
 => strategic:[1052,1061]; score:1.000000; title:Strategy; score:0.066477
 => East Africa:[860,871]; score:1.000000; title:East_Africa; score:0.062994
	FP => U.S.:[623,627]; score:1.000000; title:United_States; score:0.087563
	FP => security:[84,92]; score:1.000000; title:Security; score:0.078189
	FP => basketball team:[1095,1110]; score:1.000000; title:Basketball; score:0.079948
	FP => attack:[185,191]; score:1.000000; title:September_11_attacks; score:0.119562
	FP => friendly:[1194,1202]; score:1.000000; title:Exhibition_game; score:0.029462
	FP => Sunday:[892,898]; score:1.000000; title:Billy_Sunday; score:0.024643
	FP => Monday:[256,262]; score:1.000000; title:Monday; score:0.023105
	FP => University of Connecticut:[1309,1334]; score:1.000000; title:University_of_Connecticut; score:0.074643
	FP => Israel:[1268,1274]; score:1.000000; title:Israel; score:0.104523
 => Osama bin Laden:[745,760]; score:1.000000; title:Osama_bin_Laden; score:0.100998
	FP => day:[1182,1185]; score:1.000000; title:Sandra_Day_O'Connor; score:0.071363
	FP => 6th:[1545,1548]; score:1.000000; title:6_(number); score:0.002484
	FP => retaliate:[991,1000]; score:1.000000; title:Revenge; score:0.042976
	FP => administration:[1285,1299]; score:1.000000; title:Administration_(law); score:0.039571
	FP => leading:[902,909]; score:1.000000; title:Leadership; score:0.061754
	FP => Asked:[423,428]; score:1.000000; title:Question; score:0.011535
	FP => airliners:[1074,1083]; score:1.000000; title:Airliner; score:0.185507
	FP => specific:[532,540]; score:1.000000; title:Specific_impulse; score:0.022425
 => Israel:[65,71]; score:1.000000; title:Israel; score:0.104523
	FP => bombings:[1453,1461]; score:1.000000; title:Bomb; score:0.109769
 => international airport:[111,132]; score:1.000000; title:International_airport; score:0.121420
 => terrorism:[407,416]; score:1.000000; title:Terrorism; score:0.128853
	FP => airlines:[231,239]; score:1.000000; title:Airline; score:0.268382
 => tour operator:[1397,1410]; score:1.000000; title:Tour_operator; score:0.090913
	FP => pvs:[1554,1557]; score:1.000000; title:Persistent_vegetative_state; score:0.018294
	FP => Afghanistan:[1465,1476]; score:1.000000; title:War_in_Afghanistan_(2001–present); score:0.119197
	FP => U.S.:[1034,1038]; score:1.000000; title:United_States; score:0.087563
	FP => bodyguards:[1344,1354]; score:1.000000; title:Bodyguard; score:0.076293
	FP => Israeli:[192,199]; score:1.000000; title:Israel; score:0.104523
	FP => Monday:[1164,1170]; score:1.000000; title:Monday; score:0.023105
 => private security:[1220,1236]; score:1.000000; title:Security_guard; score:0.076482
	FP => Israel:[347,353]; score:1.000000; title:Israel; score:0.104523
 => Muslim:[911,917]; score:1.000000; title:Muslim; score:0.064430
	FP => Afghanistan:[711,722]; score:1.000000; title:War_in_Afghanistan_(2001–present); score:0.119197
 => Saudi:[767,772]; score:1.000000; title:Saudi_Arabia; score:0.095982
 => Islamic militants:[162,179]; score:1.000000; title:Islamic_terrorism; score:0.093862
	FP => airports:[35,43]; score:1.000000; title:Airport; score:0.137605
	FP => personnel:[93,102]; score:1.000000; title:Human_resources; score:0.066725
	FP => games:[1203,1208]; score:1.000000; title:Olympic_Games; score:0.088553
	FP => adding:[77,83]; score:1.000000; title:Addition; score:0.008639
 => Benjamin Netanyahu:[283,301]; score:1.000000; title:Benjamin_Netanyahu; score:0.079526
 => security:[21,29]; score:1.000000; title:Security; score:0.078189
	FP => tour:[1186,1190]; score:1.000000; title:Tour_de_France; score:0.145220
	FP => bombings:[822,830]; score:1.000000; title:Bomb; score:0.109769
	FP => Israeli:[1043,1050]; score:1.000000; title:Israel; score:0.104523
 => University of Connecticut:[1121,1146]; score:1.000000; title:University_of_Connecticut; score:0.074643
	FP => response:[138,146]; score:1.000000; title:Antiphon; score:0.014387
	FP => close:[932,937]; score:1.000000; title:Norwich; score:0.066448
P/R/F:0.22222222/0.6956522/0.3368421; tpCount:16.0; fpCount:56.0; fnCount:7.0
[APW19981010_0354.htm]
***************** Gold Standard: ***********************
	FN => Gulf:[37,41]; score:1.000000; title:Persian Gulf; score:1.000000
 => United Arab Emirates:[612,632]; score:1.000000; title:United Arab Emirates; score:1.000000
 => Iran:[286,290]; score:1.000000; title:Iran; score:1.000000
	FN => sanctions:[1211,1220]; score:1.000000; title:International sanctions; score:1.000000
	FN => ballistic missile defense system:[186,218]; score:1.000000; title:Missile defense; score:1.000000
	FN => U.S.:[146,150]; score:1.000000; title:United States; score:1.000000
 => Qatar:[540,545]; score:1.000000; title:Qatar; score:1.000000
 => Iraq:[298,302]; score:1.000000; title:Iraq; score:1.000000
 => Saudi Arabia:[657,669]; score:1.000000; title:Saudi Arabia; score:1.000000
 => U.N.:[1203,1207]; score:1.000000; title:United Nations; score:1.000000
 => Oman:[637,641]; score:1.000000; title:Oman; score:1.000000
 => Bahrain:[450,457]; score:1.000000; title:Bahrain; score:1.000000
 => William Cohen:[83,96]; score:1.000000; title:William Cohen; score:1.000000

************************ System Result: ***************************
	FP => protection:[948,958]; score:1.000000; title:Protectionism; score:0.082919
	FP => system:[959,965]; score:1.000000; title:System; score:0.076127
	FP => forces:[997,1003]; score:1.000000; title:Force; score:0.055650
	FP => nation:[574,580]; score:1.000000; title:Nation; score:0.095378
	FP => Gulf:[1163,1167]; score:1.000000; title:Gulf_War; score:0.165369
	FP => Gulf:[759,763]; score:1.000000; title:Gulf_War; score:0.165369
	FP => reporters:[510,519]; score:1.000000; title:Reporter; score:0.044217
 => Saudi Arabia:[657,669]; score:1.000000; title:Saudi_Arabia; score:0.117670
	FP => range:[1306,1311]; score:1.000000; title:Range_(aircraft); score:0.083000
	FP => Cohen:[1012,1017]; score:1.000000; title:Leonard_Cohen; score:0.045217
	FP => defense systems:[347,362]; score:1.000000; title:Weapon; score:0.102794
	FP => allies:[839,845]; score:1.000000; title:Allies_of_World_War_II; score:0.124799
 => Oman:[637,641]; score:1.000000; title:Oman; score:0.100962
 => Bahrain:[450,457]; score:1.000000; title:Bahrain; score:0.112502
	FP => United States:[324,337]; score:1.000000; title:U.S._state; score:0.119122
 => William Cohen:[83,96]; score:1.000000; title:William_Cohen; score:0.141739
	FP => U.S. Defense Secretary:[59,81]; score:1.000000; title:United_States_Secretary_of_Defense; score:0.147265
	FP => missile:[709,716]; score:1.000000; title:Missile; score:0.145652
	FP => Gulf:[167,171]; score:1.000000; title:Gulf_War; score:0.165369
	FP => Gulf:[37,41]; score:1.000000; title:Gulf_War; score:0.165369
	FP => U.S.:[146,150]; score:1.000000; title:United_States_Secretary_of_Defense; score:0.147265
	FP => Iraq:[1190,1194]; score:1.000000; title:Iraq; score:0.139774
 => Qatar:[540,545]; score:1.000000; title:Qatar; score:0.102213
 => Iraq:[298,302]; score:1.000000; title:Iraq; score:0.139774
	FP => Kuwait:[645,651]; score:1.000000; title:Kuwait; score:0.119055
	FP => missile:[1130,1137]; score:1.000000; title:Missile; score:0.145652
	FP => Gulf countries:[470,484]; score:1.000000; title:Arab_states_of_the_Persian_Gulf; score:0.147461
	FP => Iran:[1039,1043]; score:1.000000; title:Iran; score:0.141468
	FP => Cohen:[852,857]; score:1.000000; title:Leonard_Cohen; score:0.045217
	FP => weapons:[243,250]; score:1.000000; title:Weapon; score:0.102794
	FP => United States:[1061,1074]; score:1.000000; title:U.S._state; score:0.119122
	FP => cooperate:[819,828]; score:1.000000; title:Cooperation; score:0.095737
	FP => technology:[433,443]; score:1.000000; title:Technology; score:0.133565
	FP => people:[976,982]; score:1.000000; title:People; score:0.045692
	FP => Iraq:[1080,1084]; score:1.000000; title:Iraq; score:0.139774
	FP => missile:[1252,1259]; score:1.000000; title:Missile; score:0.145652
	FP => technology:[717,727]; score:1.000000; title:Technology; score:0.133565
	FP => Gulf:[581,585]; score:1.000000; title:Gulf_War; score:0.165369
	FP => tour:[586,590]; score:1.000000; title:Tourism; score:0.093664
	FP => Saturday:[104,112]; score:1.000000; title:The_Saturdays; score:0.008219
 => Iran:[286,290]; score:1.000000; title:Iran; score:0.141468
	FP => region:[1168,1174]; score:1.000000; title:Region; score:0.069611
	FP => allies:[153,159]; score:1.000000; title:Allies_of_World_War_II; score:0.124799
	FP => imperative:[128,138]; score:1.000000; title:Imperative_mood; score:0.037575
	FP => countries:[898,907]; score:1.000000; title:Country; score:0.100743
	FP => sanctions:[1211,1220]; score:1.000000; title:Sanctions_(law); score:0.046733
	FP => cooperate:[908,917]; score:1.000000; title:Cooperation; score:0.095737
	FP => Cohen:[309,314]; score:1.000000; title:Leonard_Cohen; score:0.045217
	FP => region:[764,770]; score:1.000000; title:Region; score:0.069611
	FP => major:[1142,1147]; score:1.000000; title:Major_(United_States); score:0.064885
	FP => speaking:[498,506]; score:1.000000; title:Speech; score:0.045582
	FP => countries:[267,276]; score:1.000000; title:Country; score:0.100743
	FP => range:[1124,1129]; score:1.000000; title:Range_(aircraft); score:0.083000
	FP => Iraq:[1048,1052]; score:1.000000; title:Iraq; score:0.139774
	FP => theater:[932,939]; score:1.000000; title:Theater_(warfare); score:0.097540
	FP => imperative:[882,892]; score:1.000000; title:Imperative_mood; score:0.037575
	FP => globally:[728,736]; score:1.000000; title:Globalization; score:0.107504
 => United Arab Emirates:[612,632]; score:1.000000; title:United_Arab_Emirates; score:0.118275
	FP => imperative:[45,55]; score:1.000000; title:Imperative_mood; score:0.037575
	FP => technology:[1260,1270]; score:1.000000; title:Technology; score:0.133565
	FP => share:[422,427]; score:1.000000; title:Share_(finance); score:0.040887
	FP => Iran:[1089,1093]; score:1.000000; title:Iran; score:0.141468
	FP => Cohen:[3,8]; score:1.000000; title:Leonard_Cohen; score:0.045217
	FP => long:[1119,1123]; score:1.000000; title:Long_(finance); score:0.020487
	FP => hope:[402,406]; score:1.000000; title:Hope,_Arkansas; score:0.063587
	FP => counter:[224,231]; score:1.000000; title:Counter_(board_wargames); score:0.044471
	FP => research and development:[369,393]; score:1.000000; title:Research_and_development; score:0.124331
	FP => hope:[410,414]; score:1.000000; title:Hope,_Arkansas; score:0.063587
 => U.N.:[1203,1207]; score:1.000000; title:United_Nations; score:0.133957
	FP => missile:[940,947]; score:1.000000; title:Missile; score:0.145652
	FP => U.S.:[834,838]; score:1.000000; title:United_States_Secretary_of_Defense; score:0.147265
	FP => hands:[258,263]; score:1.000000; title:Hand; score:0.032242
	FP => Cohen:[1179,1184]; score:1.000000; title:Leonard_Cohen; score:0.045217
P/R/F:0.12328767/0.6923077/0.20930232; tpCount:9.0; fpCount:64.0; fnCount:4.0
[APW19981022_0710.htm]
***************** Gold Standard: ***********************
 => power stations:[605,619]; score:1.000000; title:Power station; score:1.000000
	FN => cabinet:[784,791]; score:1.000000; title:Cabinet; score:1.000000
 => infrastructure:[1205,1219]; score:1.000000; title:Infrastructure; score:1.000000
	FN => four nuclear power plants:[334,359]; score:1.000000; title:Nuclear power in Switzerland; score:1.000000
 => nuclear power:[159,172]; score:1.000000; title:nuclear power; score:1.000000
 => liberalization:[1256,1270]; score:1.000000; title:Liberalization; score:1.000000
 => nuclear waste:[526,539]; score:1.000000; title:Radioactive waste; score:1.000000
	FN => power industry:[426,440]; score:1.000000; title:Electrical power industry; score:1.000000
	FN => Swiss:[4,9]; score:1.000000; title:Switzerland; score:1.000000
 => Moritz Leuenberger:[907,925]; score:1.000000; title:Moritz Leuenberger; score:1.000000
	FN => tax breaks:[1454,1464]; score:1.000000; title:Tax exemption; score:1.000000
	FN => environmental campaigners:[244,269]; score:1.000000; title:Environmentalism; score:1.000000
 => hydroelectric plants:[212,232]; score:1.000000; title:Hydroelectricity; score:1.000000
	FN => electricity:[1102,1113]; score:1.000000; title:electricity; score:1.000000

************************ System Result: ***************************
	FP => Details:[930,937]; score:1.000000; title:Details_(magazine); score:0.012633
	FP => timeframe:[297,306]; score:1.000000; title:Timeline; score:0.064451
 => nuclear power:[159,172]; score:1.000000; title:Nuclear_power; score:0.381813
	FP => eyes:[23,27]; score:1.000000; title:Eye; score:0.031792
	FP => officials:[1021,1030]; score:1.000000; title:Official; score:0.094486
	FP => federal cabinet:[775,790]; score:1.000000; title:Cabinet_(government); score:0.137409
	FP => country:[129,136]; score:1.000000; title:Country; score:0.083425
	FP => discuss:[490,497]; score:1.000000; title:Debate; score:0.054741
	FP => hydroelectric plants:[1390,1410]; score:1.000000; title:Hydroelectricity; score:0.214894
	FP => nuclear power plants:[339,359]; score:1.000000; title:Nuclear_power; score:0.381813
	FP => parties:[726,733]; score:1.000000; title:Party; score:0.032668
	FP => electricity market:[1102,1120]; score:1.000000; title:Electricity_market; score:0.233796
 => power stations:[605,619]; score:1.000000; title:Power_station; score:0.200410
	FP => support:[1382,1389]; score:1.000000; title:Sympathy; score:0.043946
	FP => work:[392,396]; score:1.000000; title:Work_(thermodynamics); score:0.053150
	FP => local governments:[469,486]; score:1.000000; title:Local_government; score:0.100603
	FP => plants:[1530,1536]; score:1.000000; title:Plant; score:0.123595
	FP => creation:[1156,1164]; score:1.000000; title:Creationism; score:0.060577
 => hydroelectric plants:[212,232]; score:1.000000; title:Hydroelectricity; score:0.214894
	FP => federal cabinet:[990,1005]; score:1.000000; title:Cabinet_(government); score:0.137409
	FP => government:[1131,1141]; score:1.000000; title:Government; score:0.135217
	FP => Swiss government:[4,20]; score:1.000000; title:Swiss_Federal_Council; score:0.187249
	FP => Federal:[882,889]; score:1.000000; title:Federal_government_of_the_United_States; score:0.157372
	FP => hydroelectric plants:[1470,1490]; score:1.000000; title:Hydroelectricity; score:0.214894
 => infrastructure:[1205,1219]; score:1.000000; title:Infrastructure; score:0.121809
	FP => support:[195,202]; score:1.000000; title:Sympathy; score:0.043946
	FP => produce:[742,749]; score:1.000000; title:Produce; score:0.072938
	FP => domestic:[1092,1100]; score:1.000000; title:Domestic_policy; score:0.124207
	FP => discussions:[696,707]; score:1.000000; title:Debate; score:0.054741
	FP => Government officials:[366,386]; score:1.000000; title:Official; score:0.094486
 => liberalization:[1256,1270]; score:1.000000; title:Liberalization; score:0.106449
	FP => electricity market:[1280,1298]; score:1.000000; title:Electricity_market; score:0.233796
	FP => decision:[808,816]; score:1.000000; title:Decision_making; score:0.096098
	FP => exit:[148,152]; score:1.000000; title:The_Joshua_Tree; score:0.008742
	FP => cabinet:[1357,1364]; score:1.000000; title:Cabinet_(government); score:0.137409
	FP => laws:[1073,1077]; score:1.000000; title:Law; score:0.088166
	FP => country:[323,330]; score:1.000000; title:Country; score:0.083425
	FP => move:[980,984]; score:1.000000; title:The_Move; score:0.026366
	FP => Thursday:[86,94]; score:1.000000; title:Thursday; score:0.021630
	FP => representatives:[402,417]; score:1.000000; title:Legislature; score:0.061701
	FP => cabinet:[1336,1343]; score:1.000000; title:Cabinet_(government); score:0.137409
	FP => timeframe:[1228,1237]; score:1.000000; title:Timeline; score:0.064451
	FP => environmental concerns:[633,655]; score:1.000000; title:Environmental_issue; score:0.132023
	FP => energy:[1014,1020]; score:1.000000; title:Energy; score:0.207638
	FP => planning:[116,124]; score:1.000000; title:Planning; score:0.119194
	FP => fail:[734,738]; score:1.000000; title:Failure; score:0.042512
 => nuclear waste:[526,539]; score:1.000000; title:Radioactive_waste; score:0.317090
	FP => power:[1198,1203]; score:1.000000; title:Power_(physics); score:0.070108
	FP => government:[661,671]; score:1.000000; title:Government; score:0.135217
 => Moritz Leuenberger:[907,925]; score:1.000000; title:Moritz_Leuenberger; score:0.098317
	FP => draw:[1034,1038]; score:1.000000; title:Drawing; score:0.049313
	FP => study:[1425,1430]; score:1.000000; title:Étude; score:0.004980
	FP => government:[545,555]; score:1.000000; title:Government; score:0.135217
	FP => build:[593,598]; score:1.000000; title:Building; score:0.061367
	FP => Swiss government:[69,85]; score:1.000000; title:Swiss_Federal_Council; score:0.187249
	FP => nuclear power plants:[42,62]; score:1.000000; title:Nuclear_power; score:0.381813
	FP => set:[850,853]; score:1.000000; title:Set_theory; score:0.030801
P/R/F:0.12280702/0.5/0.1971831; tpCount:7.0; fpCount:50.0; fnCount:7.0
[APW19980603_1617.htm]
***************** Gold Standard: ***********************
 => implementation:[228,242]; score:1.000000; title:Implementation; score:1.000000
	FN => Government agencies:[64,83]; score:1.000000; title:Government agency; score:1.000000
	FN => State:[55,60]; score:1.000000; title:State; score:1.000000
	FN => studies:[1383,1390]; score:1.000000; title:Research; score:1.000000
	FN => poor:[472,476]; score:1.000000; title:Poverty; score:1.000000
 => Negri Sembilan:[1172,1186]; score:1.000000; title:Negeri Sembilan; score:1.000000
	FN => Federal:[40,47]; score:1.000000; title:Federal Government; score:1.000000
 => mussel:[1064,1070]; score:1.000000; title:Mussel; score:1.000000
	FN => allocation:[409,419]; score:1.000000; title:Resource allocation; score:1.000000
	FN => MALAYSIA:[4,12]; score:1.000000; title:Malaysia; score:1.000000
 => minister:[819,827]; score:1.000000; title:Minister (government); score:1.000000
 => economic:[116,124]; score:1.000000; title:Economy; score:1.000000
	FN => Rural:[250,255]; score:1.000000; title:Rural; score:1.000000
	FN => Lukut:[1099,1104]; score:1.000000; title:Lukut; score:1.000000
 => Port Dickson:[1246,1258]; score:1.000000; title:Port Dickson; score:1.000000
 => ministry:[439,447]; score:1.000000; title:Ministry (government department); score:1.000000

************************ System Result: ***************************
 => implementation:[228,242]; score:1.000000; title:Implementation; score:0.072090
	FP => implementation:[357,371]; score:1.000000; title:Implementation; score:0.072090
	FP => today:[1107,1112]; score:1.000000; title:Today_(NBC_program); score:0.028697
 => Negri Sembilan:[1172,1186]; score:1.000000; title:Negeri_Sembilan; score:0.106492
	FP => don:[632,635]; score:1.000000; title:Don_River_(Russia); score:0.035004
	FP => director-general:[873,889]; score:1.000000; title:Director-general; score:0.073661
	FP => officer:[1270,1277]; score:1.000000; title:Officer_(armed_forces); score:0.090552
	FP => district:[1261,1269]; score:1.000000; title:District; score:0.100957
	FP => projects:[127,135]; score:1.000000; title:Public_housing; score:0.100852
	FP => Minister:[270,278]; score:1.000000; title:Minister_(government); score:0.149639
	FP => project:[1081,1088]; score:1.000000; title:Project; score:0.092404
	FP => projects:[650,658]; score:1.000000; title:Public_housing; score:0.100852
	FP => parliamentary secretary:[848,871]; score:1.000000; title:Parliamentary_Secretary; score:0.154076
	FP => paper:[681,686]; score:1.000000; title:Paper; score:0.058053
 => Port Dickson:[1246,1258]; score:1.000000; title:Port_Dickson; score:0.175484
	FP => projects:[1159,1167]; score:1.000000; title:Public_housing; score:0.100852
 => ministry:[439,447]; score:1.000000; title:Ministry_(government_department); score:0.213162
	FP => inspection:[694,704]; score:1.000000; title:Inspection; score:0.058300
	FP => projects:[948,956]; score:1.000000; title:Public_housing; score:0.100852
	FP => visit:[933,938]; score:1.000000; title:The_Visit; score:0.017112
	FP => officials:[916,925]; score:1.000000; title:Official; score:0.079848
	FP => monitor:[345,352]; score:1.000000; title:Monitor_Group; score:0.033272
	FP => yesterday:[302,311]; score:1.000000; title:Yesterday_(song); score:0.004484
	FP => Development:[146,157]; score:1.000000; title:Rural_development; score:0.105672
	FP => happening:[973,982]; score:1.000000; title:Happening; score:0.015816
 => minister:[819,827]; score:1.000000; title:Minister_(government); score:0.149639
	FP => hardcore:[462,470]; score:1.000000; title:Hardcore_punk; score:0.193201
	FP => depth:[1376,1381]; score:1.000000; title:Depth_perception; score:0.011571
	FP => district:[533,541]; score:1.000000; title:District; score:0.100957
	FP => ministry:[907,915]; score:1.000000; title:Ministry_(government_department); score:0.213162
	FP => Federal:[40,47]; score:1.000000; title:Federal_government_of_the_United_States; score:0.115918
	FP => projects:[597,605]; score:1.000000; title:Public_housing; score:0.100852
 => mussel:[1064,1070]; score:1.000000; title:Mussel; score:0.039852
	FP => Rural Development:[250,267]; score:1.000000; title:Rural_development; score:0.105672
	FP => Government:[1014,1024]; score:1.000000; title:State_government; score:0.108187
	FP => Musa:[292,296]; score:1.000000; title:Winx_Club; score:0.009574
	FP => Harun:[1235,1240]; score:1.000000; title:Harun_al-Rashid; score:0.018873
	FP => don:[711,714]; score:1.000000; title:Don_River_(Russia); score:0.035004
	FP => Hardcore:[176,184]; score:1.000000; title:Hardcore_punk; score:0.193201
	FP => State Government:[55,71]; score:1.000000; title:State_government; score:0.108187
	FP => Assemblyman:[1215,1226]; score:1.000000; title:Member_of_Parliament; score:0.076799
	FP => check:[568,573]; score:1.000000; title:Cheque; score:0.039800
	FP => benefit:[450,457]; score:1.000000; title:Employee_benefit; score:0.066206
	FP => conduct:[1365,1372]; score:1.000000; title:Conducting; score:0.035667
	FP => projects:[379,387]; score:1.000000; title:Public_housing; score:0.100852
	FP => projects:[1399,1407]; score:1.000000; title:Public_housing; score:0.100852
	FP => day:[1128,1131]; score:1.000000; title:Stockwell_Day; score:0.053482
	FP => visit:[1137,1142]; score:1.000000; title:The_Visit; score:0.017112
	FP => task:[97,101]; score:1.000000; title:Task_force; score:0.088113
	FP => ministry:[787,795]; score:1.000000; title:Ministry_(government_department); score:0.213162
	FP => deputy minister:[831,846]; score:1.000000; title:Deputy_Minister_(Canada); score:0.084816
	FP => success:[670,677]; score:1.000000; title:Chingy; score:0.012367
	FP => progress:[581,589]; score:1.000000; title:Progress_(spacecraft); score:0.035894
 => economic:[116,124]; score:1.000000; title:Economy; score:0.090216
	FP => long:[1132,1136]; score:1.000000; title:Long_(finance); score:0.000607
	FP => visiting:[1052,1060]; score:1.000000; title:The_Invasion_(film); score:0.007289
	FP => policy:[798,804]; score:1.000000; title:Policy; score:0.088461
	FP => senior:[900,906]; score:1.000000; title:Senior_status; score:0.037186
P/R/F:0.12068965/0.4375/0.1891892; tpCount:7.0; fpCount:51.0; fnCount:9.0
[APW19980808_0196.htm]
***************** Gold Standard: ***********************
 => allies:[527,533]; score:1.000000; title:Allies; score:1.000000
 => Ayatollah Ruhollah Khomeini:[670,697]; score:1.000000; title:Ruhollah Khomeini; score:1.000000
 => Baghdad:[1276,1283]; score:1.000000; title:Baghdad; score:1.000000
	FN => Kuwait:[961,967]; score:1.000000; title:Kuwait; score:1.000000
 => embargo:[818,825]; score:1.000000; title:Embargo; score:1.000000
	FN => Iranian government:[633,651]; score:1.000000; title:Politics of Iran; score:1.000000
 => Iran-Iraq war:[312,325]; score:1.000000; title:Iran-Iraq war; score:1.000000
 => United States:[117,130]; score:1.000000; title:United States; score:1.000000
	FN => sanctions:[891,900]; score:1.000000; title:Sanction; score:1.000000
 => U.N.:[464,468]; score:1.000000; title:United Nations; score:1.000000
