[VOA20001223.2000.0139]
***************** Gold Standard: ***********************
	FN => Slobodan Milosevic:[325,343]; score:1.000000; title:Slobodan Milošević; score:1.000000
	FN => Congress:[3237,3245]; score:1.000000; title:United States Congress; score:1.000000

************************ System Result: ***************************
	FP => Harvard Law School:[790,808]; score:1.000000; title:Charles_Nesson; score:1.000000
	FP => US Supreme Court:[168,184]; score:1.000000; title:Red_Lion_Broadcasting_Co._v._Federal_Communications_Commission; score:1.000000
	FP => Federal Courts:[248,262]; score:1.000000; title:Attorney-client_privilege; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:3.0; fnCount:9.0
[20001115_AFP_ARB.0060.eng]
***************** Gold Standard: ***********************
	FN => Sultanate of Brunei:[751,770]; score:1.000000; title:Brunei; score:1.000000
	FN => Bandar Seri Begawan:[2,21]; score:1.000000; title:Bandar Seri Begawan; score:1.000000
	FN => AFP:[29,32]; score:1.000000; title:Agence France-Presse; score:1.000000
	FN => Iran:[2438,2442]; score:1.000000; title:Iran; score:1.000000

************************ System Result: ***************************
	FP => Putin:[893,898]; score:1.000000; title:Russia; score:1.000000
	FP => Putin:[2462,2467]; score:1.000000; title:Russia; score:1.000000
	FP => Putin:[633,638]; score:1.000000; title:Russia; score:1.000000
	FP => George Bush Junior:[1907,1925]; score:1.000000; title:W._(film); score:1.000000
	FP => Putin:[209,214]; score:1.000000; title:Russia; score:1.000000
	FP => Bandar Seri Begawan:[2,21]; score:1.000000; title:Downtown_Bandar_Seri_Begawan; score:1.000000
	FP => NMD:[1726,1729]; score:1.000000; title:Railway_stations_in_the_Netherlands; score:1.000000
	FP => Asia-Pacific Economic Cooperation:[662,695]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Putin:[1066,1071]; score:1.000000; title:Russia; score:1.000000
	FP => Bandar Seri Begawan:[712,731]; score:1.000000; title:Downtown_Bandar_Seri_Begawan; score:1.000000
	FP => Putin:[458,463]; score:1.000000; title:Russia; score:1.000000
	FP => APEC:[697,701]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Edmond Bob:[2671,2681]; score:1.000000; title:Bob_Edmond; score:1.000000
	FP => NMD:[1575,1578]; score:1.000000; title:Railway_stations_in_the_Netherlands; score:1.000000
	FP => Sultanate:[751,760]; score:1.000000; title:Sultan; score:0.865870
	FP => Putin:[1378,1383]; score:1.000000; title:Russia; score:1.000000
	FP => NMD:[1954,1957]; score:1.000000; title:Railway_stations_in_the_Netherlands; score:1.000000
	FP => Putin:[2884,2889]; score:1.000000; title:Russia; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:18.0; fnCount:4.0
[20001115_AFP_ARB.0212.eng]
***************** Gold Standard: ***********************
	FN => America:[44,51]; score:1.000000; title:United States; score:1.000000
	FN => Middle East:[670,681]; score:1.000000; title:Middle East; score:1.000000
	FN => Time magazine:[902,915]; score:1.000000; title:Time (magazine); score:1.000000
	FN => Globalization Studies Center:[384,412]; score:1.000000; title:Yale Center for the Study of Globalization; score:1.000000
	FN => Madeleine Albright:[136,154]; score:1.000000; title:Madeleine Albright; score:1.000000
 => Richard Levin:[295,308]; score:1.000000; title:Rick Levin; score:1.000000
	FN => Yale University:[236,251]; score:1.000000; title:Yale University; score:1.000000

************************ System Result: ***************************
	FP => Stewart Talbot:[28,42]; score:1.000000; title:Sharp_Stewart_0-8-2T; score:1.000000
 => Richard Levin:[295,308]; score:1.000000; title:Rick_Levin; score:1.000000
	FP => Dennis Ross:[683,694]; score:1.000000; title:Dennis_Ross; score:1.000000
P/R/F:0.33333334/0.14285715/0.2; tpCount:1.0; fpCount:2.0; fnCount:6.0
[chtb_267.eng]
***************** Gold Standard: ***********************
	FN => Beijing:[22,29]; score:1.000000; title:Beijing; score:1.000000
	FN => China:[209,214]; score:1.000000; title:China; score:1.000000
	FN => Taiwan:[2727,2733]; score:1.000000; title:Taiwan; score:1.000000
 => Rudong:[1927,1933]; score:1.000000; title:Rudong County; score:1.000000
	FN => US:[92,94]; score:1.000000; title:United States; score:1.000000
	FN => South Korea:[2711,2722]; score:1.000000; title:South Korea; score:1.000000
	FN => Weir Group:[74,84]; score:1.000000; title:Weir Group; score:1.000000
	FN => Jiangsu Province:[155,171]; score:1.000000; title:Jiangsu; score:1.000000
	FN => Japan:[2704,2709]; score:1.000000; title:Japan; score:1.000000
 => Xinhua News Agency:[2,20]; score:1.000000; title:Xinhua News Agency; score:1.000000

************************ System Result: ***************************
	FP => Weir Group:[1427,1437]; score:1.000000; title:Weir_Group; score:1.000000
	FP => Weir Group:[1731,1741]; score:1.000000; title:Weir_Group; score:1.000000
	FP => Weir Group:[2104,2114]; score:1.000000; title:Weir_Group; score:1.000000
	FP => Weir Group:[3128,3138]; score:1.000000; title:Weir_Group; score:1.000000
	FP => Xinhua News Agency:[424,442]; score:1.000000; title:Xinhua_News_Agency; score:1.000000
 => Rudong:[1927,1933]; score:1.000000; title:Rudong_County; score:1.000000
	FP => Weir Group:[2316,2326]; score:1.000000; title:Weir_Group; score:1.000000
	FP => Jiangsu Province:[155,171]; score:1.000000; title:Jiangsu_Province_Kunqu_Theatre; score:1.000000
	FP => Weir Group:[2159,2169]; score:1.000000; title:Weir_Group; score:1.000000
 => Xinhua News Agency:[2,20]; score:1.000000; title:Xinhua_News_Agency; score:1.000000
P/R/F:0.2/0.2/0.20000002; tpCount:2.0; fpCount:8.0; fnCount:8.0
[20001115_AFP_ARB.0013.eng]
***************** Gold Standard: ***********************
	FN => Bandar Seri Begawan:[2,21]; score:1.000000; title:Bandar Seri Begawan; score:1.000000
	FN => Brunei:[456,462]; score:1.000000; title:Brunei; score:1.000000
	FN => State of Florida:[333,349]; score:1.000000; title:Florida; score:1.000000
	FN => AFP:[29,32]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Asia-Pacific Economic Cooperation:[413,446]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Al Gore:[507,514]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => Al Gore:[1159,1166]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => Apec:[1575,1579]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Bandar Seri Begawan:[2,21]; score:1.000000; title:Downtown_Bandar_Seri_Begawan; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:5.0; fnCount:4.0
[chtb_165.eng]
***************** Gold Standard: ***********************
 => Tokyo Mitsubishi Bank:[445,466]; score:1.000000; title:The Bank of Tokyo-Mitsubishi UFJ; score:1.000000
	FN => Pudong:[287,293]; score:1.000000; title:Pudong; score:1.000000
	FN => Hong Kong:[419,428]; score:1.000000; title:Hong Kong; score:1.000000
	FN => Japan:[437,442]; score:1.000000; title:Japan; score:1.000000
	FN => China Shipping Mansion:[121,143]; score:1.000000; title:International Ocean Shipping Building; score:1.000000
	FN => HSBC:[79,83]; score:1.000000; title:HSBC; score:1.000000
	FN => Shanghai:[22,30]; score:1.000000; title:Shanghai; score:1.000000
	FN => Citibank:[409,417]; score:1.000000; title:Citibank; score:1.000000
 => Xinhua News Agency:[2,20]; score:1.000000; title:Xinhua News Agency; score:1.000000
	FN => US:[404,406]; score:1.000000; title:United States; score:1.000000

************************ System Result: ***************************
	FP => Citibank:[409,417]; score:1.000000; title:399_Park_Avenue; score:0.571429
 => Tokyo Mitsubishi Bank:[445,466]; score:1.000000; title:The_Bank_of_Tokyo-Mitsubishi_UFJ; score:1.000000
	FP => Pudong:[1008,1014]; score:1.000000; title:Shanghai_Pudong_International_Airport; score:1.000000
	FP => Pudong:[287,293]; score:1.000000; title:Shanghai_Pudong_International_Airport; score:1.000000
	FP => Pudong:[733,739]; score:1.000000; title:Shanghai_Pudong_International_Airport; score:1.000000
	FP => Dai-Ichi Kangyo Bank:[607,627]; score:1.000000; title:Dai-Ichi_Kangyo_Bank; score:1.000000
	FP => Pudong:[1435,1441]; score:1.000000; title:Shanghai_Pudong_International_Airport; score:1.000000
	FP => Industrial Bank:[476,491]; score:1.000000; title:List_of_United_Kingdom_locations; score:1.000000
	FP => Pudong:[1526,1532]; score:1.000000; title:Shanghai_Pudong_International_Airport; score:1.000000
	FP => Lujiazui:[1046,1054]; score:1.000000; title:One_Lujiazui; score:1.000000
 => Xinhua News Agency:[2,20]; score:1.000000; title:Xinhua_News_Agency; score:1.000000
P/R/F:0.18181819/0.2/0.19047621; tpCount:2.0; fpCount:9.0; fnCount:8.0
[20001115_AFP_ARB.0217.eng]
***************** Gold Standard: ***********************
	FN => Bandar Seri Begawan:[2,21]; score:1.000000; title:Bandar Seri Begawan; score:1.000000
	FN => Irkotsik:[636,644]; score:1.000000; title:Irkutsk; score:1.000000
	FN => Russia:[98,104]; score:1.000000; title:Russia; score:1.000000
	FN => Brunei:[553,559]; score:1.000000; title:Brunei; score:1.000000
	FN => AFP:[29,32]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Putin:[1135,1140]; score:1.000000; title:Russia; score:1.000000
	FP => Coral Islands:[221,234]; score:1.000000; title:Coral_Sea_Islands; score:1.000000
	FP => Asia-Pacific Economic Cooperation:[510,543]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Yoshiro Mori:[473,485]; score:1.000000; title:Yoshirō_Mori; score:1.000000
	FP => Bandar Seri Begawan:[2,21]; score:1.000000; title:Downtown_Bandar_Seri_Begawan; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:5.0; fnCount:5.0
[20001115_AFP_ARB.0072.eng]
***************** Gold Standard: ***********************
	FN => Baghdad:[2,9]; score:1.000000; title:Baghdad; score:1.000000
	FN => Iraq:[128,132]; score:1.000000; title:Iraq; score:1.000000
	FN => AFP:[17,20]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
P/R/F:1.0/0.0/0.0; tpCount:0.0; fpCount:0.0; fnCount:3.0
[NYT20001124.2050.0257]
***************** Gold Standard: ***********************
 => Asia:[147,151]; score:1.000000; title:Asia; score:1.000000
	FN => Malaysia:[1358,1366]; score:1.000000; title:Malaysia; score:1.000000
	FN => South Korea:[1371,1382]; score:1.000000; title:South Korea; score:1.000000
	FN => China:[2428,2433]; score:1.000000; title:People's Republic of China; score:1.000000
	FN => United States:[2264,2277]; score:1.000000; title:United States; score:1.000000
	FN => HONG KONG:[112,121]; score:1.000000; title:Hong Kong; score:1.000000
 => Bloomberg News:[2128,2142]; score:1.000000; title:Bloomberg Television; score:1.000000
	FN => Chen Shui-bian:[1242,1256]; score:1.000000; title:Chen Shui-bian; score:1.000000
	FN => Indonesia:[1101,1110]; score:1.000000; title:Indonesia; score:1.000000
	FN => Taiwan:[1089,1095]; score:1.000000; title:Taiwan; score:1.000000
 => Hong Kong General Chamber of Commerce:[2673,2710]; score:1.000000; title:Hong Kong General Chamber of Commerce; score:1.000000
	FN => Philippines:[1076,1087]; score:1.000000; title:Philippines; score:1.000000
	FN => Singapore:[1969,1978]; score:1.000000; title:Singapore; score:1.000000
	FN => International Monetary Fund:[552,579]; score:1.000000; title:International Monetary Fund; score:1.000000

************************ System Result: ***************************
 => Asia:[147,151]; score:1.000000; title:Asia; score:0.808361
	FP => Asia:[3668,3672]; score:1.000000; title:Asia; score:0.808361
	FP => Asia:[1028,1032]; score:1.000000; title:Asia; score:0.808361
	FP => Asia:[4117,4121]; score:1.000000; title:Asia; score:0.808361
 => Hong Kong General Chamber of Commerce:[2673,2710]; score:1.000000; title:Hong_Kong_General_Chamber_of_Commerce; score:1.000000
	FP => Chen Shui-bian:[1242,1256]; score:1.000000; title:Taiwan_independence; score:1.000000
	FP => Asia:[3322,3326]; score:1.000000; title:Asia; score:0.808361
	FP => LANDLER:[35,42]; score:1.000000; title:Jenő_Landler; score:1.000000
	FP => International Monetary Fund:[552,579]; score:1.000000; title:Christine_Lagarde; score:1.000000
 => Bloomberg News:[2128,2142]; score:1.000000; title:Bloomberg_Television; score:1.000000
	FP => Asia:[3119,3123]; score:1.000000; title:Asia; score:0.808361
	FP => Joseph Estrada:[1195,1209]; score:1.000000; title:Trial_of_Joseph_Estrada; score:1.000000
P/R/F:0.25/0.21428572/0.23076923; tpCount:3.0; fpCount:9.0; fnCount:11.0
[20001115_AFP_ARB.0089.eng]
***************** Gold Standard: ***********************
	FN => Beirut:[330,336]; score:1.000000; title:Beirut; score:1.000000
	FN => Lebanon:[9,16]; score:1.000000; title:Lebanon; score:1.000000
	FN => Jerusalem:[1318,1327]; score:1.000000; title:Jerusalem; score:1.000000
	FN => AFP:[25,28]; score:1.000000; title:Agence France-Presse; score:1.000000
	FN => Palestinian National Council:[198,226]; score:1.000000; title:Palestinian National Council; score:1.000000
	FN => Lebanon:[731,738]; score:1.000000; title:Lebanon; score:1.000000
	FN => Souer:[308,313]; score:1.000000; title:Tyre, Lebanon; score:1.000000
	FN => Saida:[708,713]; score:1.000000; title:Sidon; score:1.000000
	FN => Algeria:[230,237]; score:1.000000; title:Algeria; score:1.000000

************************ System Result: ***************************
	FP => Palestinian Intifada:[2041,2061]; score:1.000000; title:Intifada; score:1.000000
	FP => Fatah:[785,790]; score:1.000000; title:Fatah_al-Intifada; score:1.000000
	FP => Mohamed al-Dura:[448,463]; score:1.000000; title:Muhammad_al-Durrah; score:1.000000
	FP => Souer:[308,313]; score:1.000000; title:Maria-sama_ga_Miteru; score:1.000000
	FP => France Presse:[583,596]; score:1.000000; title:La_Presse_(French_newspaper); score:1.000000
	FP => Fatah:[1592,1597]; score:1.000000; title:Fatah_al-Intifada; score:1.000000
	FP => Khalid Arif:[966,977]; score:1.000000; title:Khalid_Mahmud_Arif; score:1.000000
	FP => Fatah:[1000,1005]; score:1.000000; title:Fatah_al-Intifada; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:8.0; fnCount:9.0
[APW20001001.2021.0521]
***************** Gold Standard: ***********************
	FN => AP:[16,18]; score:1.000000; title:Associated Press; score:1.000000
	FN => Jerusalem:[500,509]; score:1.000000; title:Jerusalem; score:1.000000
	FN => West Bank:[474,483]; score:1.000000; title:West Bank; score:1.000000
	FN => President:[110,119]; score:1.000000; title:President of Egypt; score:1.000000
	FN => Iraq:[317,321]; score:1.000000; title:Iraq; score:1.000000
	FN => CAIRO:[2,7]; score:1.000000; title:Cairo; score:1.000000
	FN => Syria:[53,58]; score:1.000000; title:Syria; score:1.000000
	FN => Egypt:[9,14]; score:1.000000; title:Egypt; score:1.000000
	FN => Gaza Strip:[485,495]; score:1.000000; title:Gaza Strip; score:1.000000

************************ System Result: ***************************
	FP => Assad:[222,227]; score:1.000000; title:Assaad_Hardan; score:1.000000
	FP => Assad:[2142,2147]; score:1.000000; title:Assaad_Hardan; score:1.000000
	FP => Assad:[799,804]; score:1.000000; title:Assaad_Hardan; score:1.000000
	FP => U.N.:[2351,2355]; score:1.000000; title:United_Nations_Foundation; score:1.000000
	FP => Yemen:[2309,2314]; score:1.000000; title:Yemen; score:0.742570
	FP => Golan Heights:[1975,1988]; score:1.000000; title:Six-Day_War; score:1.000000
	FP => Assad:[2254,2259]; score:1.000000; title:Assaad_Hardan; score:1.000000
	FP => Mideast:[146,153]; score:1.000000; title:Six-Day_War; score:1.000000
	FP => Gaza Strip:[485,495]; score:1.000000; title:Fatah–Hamas_conflict; score:1.000000
	FP => Hafez Assad:[2777,2788]; score:1.000000; title:Muammar_al-Gaddafi; score:1.000000
	FP => Bashar Assad:[1063,1075]; score:1.000000; title:Bashar_al-Assad; score:1.000000
	FP => Hafez Assad:[859,870]; score:1.000000; title:Muammar_al-Gaddafi; score:1.000000
	FP => Bashar Assad:[72,84]; score:1.000000; title:Bashar_al-Assad; score:1.000000
	FP => Assad:[611,616]; score:1.000000; title:Assaad_Hardan; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:14.0; fnCount:9.0
[20001115_AFP_ARB.0210.eng]
***************** Gold Standard: ***********************
	FN => Supreme Court:[49,62]; score:1.000000; title:Supreme Court of Florida; score:1.000000
	FN => AFP:[37,40]; score:1.000000; title:Agence France-Presse; score:1.000000
	FN => Tallahassee:[2,13]; score:1.000000; title:Tallahassee, Florida; score:1.000000
	FN => United States:[15,28]; score:1.000000; title:United States; score:1.000000
	FN => Florida:[66,73]; score:1.000000; title:Florida; score:1.000000

************************ System Result: ***************************
P/R/F:1.0/0.0/0.0; tpCount:0.0; fpCount:0.0; fnCount:5.0
[chtb_227.eng]
***************** Gold Standard: ***********************

************************ System Result: ***************************
	FP => Russian-speaking:[1112,1128]; score:1.000000; title:History_of_Russians_in_Estonia; score:1.000000
	FP => Xinhua News Agency:[2,20]; score:1.000000; title:Xinhua_News_Agency; score:1.000000
P/R/F:0.0/1.0/0.0; tpCount:0.0; fpCount:2.0; fnCount:0.0
[20001115_AFP_ARB.0093.eng]
***************** Gold Standard: ***********************
	FN => Palestinian Superior Security Council:[1200,1237]; score:1.000000; title:Palestinian National Council; score:1.000000
	FN => Bandar Seri Begawan:[2,21]; score:1.000000; title:Bandar Seri Begawan; score:1.000000
	FN => White House:[354,365]; score:1.000000; title:White House; score:1.000000
	FN => United States:[41,54]; score:1.000000; title:United States; score:1.000000
	FN => AFP:[29,32]; score:1.000000; title:Agence France-Presse; score:1.000000

************************ System Result: ***************************
	FP => Palestinian Authority:[171,192]; score:1.000000; title:Economy_of_the_Palestinian_territories; score:1.000000
	FP => Palestinian Authority:[1707,1728]; score:1.000000; title:Economy_of_the_Palestinian_territories; score:1.000000
	FP => Asia-Pacific Economic Cooperation:[748,781]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Sultanate of Brunei:[421,440]; score:1.000000; title:Kingdom_of_Maynila; score:1.000000
	FP => Gaza Strip:[1750,1760]; score:1.000000; title:Fatah–Hamas_conflict; score:1.000000
	FP => APEC:[789,793]; score:1.000000; title:APEC_Russia_2012; score:1.000000
	FP => Bandar Seri Begawan:[381,400]; score:1.000000; title:Downtown_Bandar_Seri_Begawan; score:1.000000
	FP => Bandar Seri Begawan:[2,21]; score:1.000000; title:Downtown_Bandar_Seri_Begawan; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:8.0; fnCount:5.0
[NYT20001125.1558.0117]
***************** Gold Standard: ***********************
	FN => Department of Natural Resources:[904,935]; score:1.000000; title:Michigan Department of Natural Resources and Environment; score:1.000000
	FN => New York:[640,648]; score:1.000000; title:New York; score:1.000000
 => GROSSE POINTE PARK:[55,73]; score:1.000000; title:Grosse Pointe Park, Michigan; score:1.000000
	FN => Mich.:[75,80]; score:1.000000; title:Michigan; score:1.000000
	FN => Detroit:[2481,2488]; score:1.000000; title:Detroit; score:1.000000
	FN => Pennsylvania:[653,665]; score:1.000000; title:Pennsylvania; score:1.000000

************************ System Result: ***************************
	FP => Art Bush:[2378,2386]; score:1.000000; title:Bush's_Pasture_Park; score:1.000000
 => GROSSE POINTE PARK:[55,73]; score:1.000000; title:Grosse_Pointe_Park,_Michigan; score:1.000000
	FP => New York:[640,648]; score:1.000000; title:New_York_Post; score:1.000000
	FP => Rule No.:[2506,2514]; score:1.000000; title:Augustine's_laws; score:1.000000
P/R/F:0.25/0.16666667/0.2; tpCount:1.0; fpCount:3.0; fnCount:5.0
[20000715_AFP_ARB.0072.eng]
***************** Gold Standard: ***********************
	FN => Jerusalem:[2,11]; score:1.000000; title:Jerusalem; score:1.000000
	FN => Moscow:[877,883]; score:1.000000; title:Moscow; score:1.000000
	FN => Iran:[106,110]; score:1.000000; title:Iran; score:1.000000
	FN => AFP:[18,21]; score:1.000000; title:Agence France-Presse; score:1.000000
	FN => Ministry of Defense:[2212,2231]; score:1.000000; title:Ministry of Defense and Armed Forces Logistics (Iran); score:1.000000

************************ System Result: ***************************
	FP => Ephraim Sneh:[1749,1761]; score:1.000000; title:Efraim_Sneh; score:1.000000
	FP => Sneh:[1917,1921]; score:1.000000; title:Eskimo_words_for_snow; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:2.0; fnCount:5.0
[PRI20001201.2000.1828]
***************** Gold Standard: ***********************
	FN => Ruth Bater Ginsburg:[437,456]; score:1.000000; title:Ruth Bader Ginsburg; score:1.000000
	FN => US Supreme Court:[63,79]; score:1.000000; title:Supreme Court of the United States; score:1.000000
	FN => BBC News:[6,14]; score:1.000000; title:BBC News; score:1.000000
	FN => Washington:[1115,1125]; score:1.000000; title:Washington, D.C.; score:1.000000
	FN => Sandra Day O'Connor:[776,795]; score:1.000000; title:Sandra Day O'Connor; score:1.000000
	FN => London:[18,24]; score:1.000000; title:London; score:1.000000
	FN => Florida Supreme Court:[541,562]; score:1.000000; title:Supreme Court of Florida; score:1.000000

************************ System Result: ***************************
	FP => Florida Supreme Court:[1144,1165]; score:1.000000; title:Joseph_Lancaster; score:1.000000
	FP => Miami Dade:[1291,1301]; score:1.000000; title:Miami-Dade_Expressway_Authority; score:1.000000
	FP => Federal High Court:[498,516]; score:1.000000; title:Islamabad_High_Court; score:1.000000
	FP => Florida Supreme Court:[541,562]; score:1.000000; title:Joseph_Lancaster; score:1.000000
	FP => AL Gore:[345,352]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
	FP => US Supreme Court:[1013,1029]; score:1.000000; title:Red_Lion_Broadcasting_Co._v._Federal_Communications_Commission; score:1.000000
	FP => State Supreme Court:[731,750]; score:1.000000; title:South_Carolina_Supreme_Court; score:0.133333
	FP => US Supreme Court:[63,79]; score:1.000000; title:Red_Lion_Broadcasting_Co._v._Federal_Communications_Commission; score:1.000000
	FP => Al Gore:[1204,1211]; score:1.000000; title:High_Performance_Computing_and_Communication_Act_of_1991; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:9.0; fnCount:7.0
